item_number,description,category,item_link,parts_link,release_year
air013,"Airport - Pilot, Black Legs, White Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air013,https://www.bricklink.com/catalogItemInv.asp?M=air013,1985
air037,"Airport - Pilot, Blue Legs, Black Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air037,https://www.bricklink.com/catalogItemInv.asp?M=air037,1991
wc025,"Airport - Pilot, Dark Blue Legs, Dark Blue Top, Black Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=wc025,https://www.bricklink.com/catalogItemInv.asp?M=wc025,2004
air019,"Airport - Pilot, Light Bluish Gray Legs, White Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air019,https://www.bricklink.com/catalogItemInv.asp?M=air019,2005
air014,"Airport - Pilot, Light Gray Legs, White Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air014,https://www.bricklink.com/catalogItemInv.asp?M=air014,1996
air020,"Airport - Pilot, White Legs, Black Ponytail Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air020,https://www.bricklink.com/catalogItemInv.asp?M=air020,2005
air015,"Airport - Pilot, White Legs, Red Ponytail Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air015,https://www.bricklink.com/catalogItemInv.asp?M=air015,1996
air049,"Airport - Pilot, White Shirt with Dark Blue Tie, Belt and ID Badge, Black Legs, Black Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air049,https://www.bricklink.com/catalogItemInv.asp?M=air049,2016
cty0403,"Airport - Pilot, White Shirt with Dark Green Tie and Belt, Black Legs, Black Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0403,https://www.bricklink.com/catalogItemInv.asp?M=cty0403,2013
air053,Airport - Stunt Pilot Female,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air053,https://www.bricklink.com/catalogItemInv.asp?M=air053,2016
air054,Airport - Stunt Pilot Male,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air054,https://www.bricklink.com/catalogItemInv.asp?M=air054,2016
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1183,https://www.bricklink.com/catalogItemInv.asp?M=cty1183,2020
cty0949,"Airport Flagman, Red Helmet with Earmuffs, Blue Jacket with Orange Stripes and Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0949,https://www.bricklink.com/catalogItemInv.asp?M=cty0949,2018
cty0950,"Airport Luggage Handler, Female, Red Helmet with Ponytail, Orange Reflective Uniform",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0950,https://www.bricklink.com/catalogItemInv.asp?M=cty0950,2018
cty0841,Airshow Jet Pilot,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0841,https://www.bricklink.com/catalogItemInv.asp?M=cty0841,2018
cty1266,"Airshow Jet Pilot - Bright Light Orange Jacket, Dark Blue Legs, White Helmet, Oxygen Mask",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1266,https://www.bricklink.com/catalogItemInv.asp?M=cty1266,2021
twn221,Al the Barber,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn221,https://www.bricklink.com/catalogItemInv.asp?M=twn221,2015
cty1349,"Ambulance Driver - Female, Dark Turquoise and Neon Yellow Safety Vest, Sand Green Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1349,https://www.bricklink.com/catalogItemInv.asp?M=cty1349,2022
zip028,"Ambulance Driver, White Cap, White Jacket with Zipper, White Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=zip028,https://www.bricklink.com/catalogItemInv.asp?M=zip028,1993
cty0713,"Angler Female, Sand Blue Legs, Reddish Brown Hair, Peach Lips, Life Jacket Center Buckle",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0713,https://www.bricklink.com/catalogItemInv.asp?M=cty0713,2017
