"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","age","expression","gender","expressionOne","expressionTwo","otherAttr","expressionDivOne","expressionDivTwo"
"499",507,"3626pb0714","Minifigure, Head Female Black Thin Eyebrows, Eyelashes, Dark Pink Eye Shadow, Lips, and Lightning Bolt, Open Mouth with Teeth Parted and Red Tongue Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0714","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0714&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0714#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0714&ColorID=3","#f3d000","no tag"," Open Mouth with Teeth Parted and Red Tongue Pattern","female-coded","none","none","none","NA","NA"
"500",508,"3626pb0775","Minifigure, Head Female Brown Eyebrows, Freckles, Eyelashes, Red Lips, Smile with Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0775","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0775&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0775#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0775&ColorID=3","#f3d000","no tag"," Smile with Teeth Pattern","female-coded","Smile","none","Freckles","Happy","NA"
"501",509,"3626pb0788","Minifigure, Head Female Glasses with White Ski Goggles with Pink and Purple Glass, Strap and Red Lips Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0788","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0788&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0788#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0788&ColorID=3","#f3d000","no tag"," Strap and Red Lips Pattern","female-coded","none","none","Glasses","NA","NA"
"502",510,"3626pb0797","Minifigure, Head Female Medium Nougat Eyebrows, Pink Lips, White Flower Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0797","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0797&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0797#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0797&ColorID=3","#f3d000","no tag"," White Flower Pattern","female-coded","none","none","none","NA","NA"
"503",511,"3626pb0694","Minifigure, Head Female Reddish Brown Eyebrows, Black Eyelashes, Red Lips, Open Mouth Smile with Teeth and Dimples Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0694","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0694&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0694#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0694&ColorID=3","#f3d000","no tag"," Open Mouth Smile with Teeth and Dimples Pattern","female-coded","Smile","none","none","Happy","NA"
"504",512,"3626pb0673","Minifigure, Head Female with Black Eyebrows, Eyelashes, Dark Pink Eye Shadow and Lips, Lopsided Open Mouth Smile with Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0673","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0673&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0673#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0673&ColorID=3","#f3d000","no tag"," Lopsided Open Mouth Smile with Teeth Pattern","female-coded","Smile","none","none","Happy","NA"
"505",513,"3626pb0745","Minifigure, Head Female with Large Red Lips, Open Mouth Smile with Teeth, Brown Eyebrows, Thin Eyelashes and White Pupils Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0745","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0745&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0745#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0745&ColorID=3","#f3d000","no tag"," Thin Eyelashes and White Pupils Pattern","female-coded","Smile","none","none","Happy","NA"
"506",514,"3626pb0686","Minifigure, Head Female with Peach Lips, Open Mouth Smile, Black Eyebrows, Light Green Eye Shadow Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0686","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0686&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0686#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0686&ColorID=3","#f3d000","no tag"," Light Green Eye Shadow Pattern","female-coded","Smile","none","none","Happy","NA"
"507",515,"3626pb0739","Minifigure, Head Female with Pink Lips and Black Eyebrows and Eyelashes Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0739","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0739&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0739#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0739&ColorID=3","#f3d000","no tag"," Head Female with Pink Lips and Black Eyebrows and Eyelashes Pattern","female-coded","none","none","none","NA","NA"
"508",516,"3626pb0691","Minifigure, Head Glasses with Brown Moustache and Eyebrows Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0691","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0691&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0691#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0691&ColorID=3","#f3d000","no tag"," Head Glasses with Brown Moustache and Eyebrows Pattern","male-coded","none","none","Glasses","NA","NA"
"509",517,"3626pb0965","Minifigure, Head Glasses with Monocle, Raised Right Eyebrow, Wrinkles, Smile Pattern (Penguin)",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0965","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0965&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0965#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0965&ColorID=90","#faccae","old"," Smile Pattern (Penguin)","no tag","Smile","none","Glasses","Happy","NA"
"510",518,"3626pb0803","Minifigure, Head Glasses with Safety Goggles, Brown Eyebrows and Goatee Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0803","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0803&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0803#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0803&ColorID=3","#f3d000","no tag"," Brown Eyebrows and Goatee Pattern","male-coded","none","none","Glasses","NA","NA"
"511",519,"3626pb0798","Minifigure, Head Light Bluish Gray and White Bushy Eyebrows, Open Mouth Smile with Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0798","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0798&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0798#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0798&ColorID=3","#f3d000","no tag"," Open Mouth Smile with Teeth Pattern","male-coded","Smile","none","none","Happy","NA"
"512",520,"3626pb0867","Minifigure, Head LotR Bushy Brown Eyebrows, Dark Orange Cheek Lines, Spots, and Wrinkles, Dark Blue Tattoo on Back Pattern (Dwalin)",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0867","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0867&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0867#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0867&ColorID=90","#faccae","old"," Dark Blue Tattoo on Back Pattern (Dwalin)","male-coded","none","none","Tattoo","NA","NA"
"513",521,"3626pb0729","Minifigure, Head LotR Gandalf Thick Gray Eyebrows, Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0729","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0729&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0729#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0729&ColorID=90","#faccae","no tag"," Smile Pattern","no tag","Smile","none","none","Happy","NA"
"514",522,"3626pb0816","Minifigure, Head LotR Gray Eyebrows, Orange Eyes, Dark Orange Facial Lines, Broken Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0816","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0816&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0816#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0816&ColorID=90","#faccae","no tag"," Broken Teeth Pattern","no tag","none","none","none","NA","NA"
"515",523,"3626pb0737","Minifigure, Head Male Black Angry Eyebrows, Determined Mouth with Teeth, Cheek Lines Pattern (Lex)",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0737","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0737&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0737#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0737&ColorID=90","#faccae","no tag"," Cheek Lines Pattern (Lex)","male-coded","Determined","none","none","Angry","NA"
"516",524,"3626pb0796","Minifigure, Head Male Black Eyebrows, Cheek Lines and Black Underlined Eyes Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0796","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0796&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0796#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0796&ColorID=3","#f3d000","no tag"," Cheek Lines and Black Underlined Eyes Pattern","male-coded","none","none","none","NA","NA"
"517",525,"3626pb0793","Minifigure, Head Male Black Eyebrows, Open Mouth Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0793","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0793&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0793#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0793&ColorID=3","#f3d000","no tag"," Open Mouth Smile Pattern","male-coded","Smile","none","none","Happy","NA"
