"","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","gender","age","expression"
"335","3626pb0530","Minifigure, Head Black Wavy Eyebrows, Medium Nougat Cheek Lines and Chin Dimple, Crooked Smile Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0530","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0530&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0530#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0530&ColorID=3","#f3d000","no tag","no tag"," Crooked Smile Pattern"
"336","3626pb0495","Minifigure, Head Dark Brown Eyebrows, Black Beard Stubble, Dark Orange Scuff Mark, Lopsided Grin Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0495","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0495&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0495#T=C","Light Bluish Gray",86,"https://www.bricklink.com/catalogPG.asp?P=3626pb0495&ColorID=86",NA,"male","no tag"," Lopsided Grin Pattern"
"337","3626pb0563","Minifigure, Head Dark Brown Eyebrows, Medium Nougat Cheek Lines, Dimples and Chin Dimple, Neutral Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0563","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0563&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0563#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0563&ColorID=90","#faccae","no tag","no tag"," Neutral Pattern"
"338","3626pb0618","Minifigure, Head Dark Brown Eyebrows, Upper Eyelids, Medium Nougat Cheek Lines, Dimples and Chin Dimple, Slight Grin Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0618","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0618&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0618#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0618&ColorID=90","#faccae","no tag","no tag"," Slight Grin Pattern"
"339","3626pb0519","Minifigure, Head Dark Tan Eyebrows, Large Sand Blue Eyes, Medium Nougat Eye Shadow, Upper Lip, Cheek Lines and Chin Dimple, Scowl Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0519","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0519&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0519#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0519&ColorID=90","#faccae","no tag","no tag"," Scowl Pattern"
"340","3626pb0587","Minifigure, Head Dark Tan Thick Eyebrows, Right Raised, Long Sideburns, Round Glasses with Silver Frames, Medium Nougat Chin Dimple, Smirk Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0587","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0587&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0587#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0587&ColorID=3","#f3d000","male","no tag"," Smirk Pattern"
"341","3626pb0596","Minifigure, Head Dual Sided Arched Eyebrows and Goatee, Smile / Angry Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0596","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0596&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0596#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0596&ColorID=3","#f3d000","male","no tag"," Smile / Angry Pattern"
"342","3626pb1354","Minifigure, Head Dual Sided Black Concave Eyebrows, Upper Eyelids, Tear Drop, Chin Dimple, and Sad Frown / Huge Open Mouth Smile with Top Teeth and Red Tongue Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb1354","https://www.bricklink.com/catalogItemIn.asp?P=3626pb1354&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb1354#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb1354&ColorID=3","#f3d000","no tag","no tag"," and Sad Frown / Huge Open Mouth Smile with Top Teeth and Red Tongue Pattern"
"343","3626pb0585","Minifigure, Head Dual Sided Black Eyebrows and Glasses, Medium Nougat Chin Dimple, Open Mouth Smile with Teeth / Scared Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0585","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0585&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0585#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0585&ColorID=3","#f3d000","no tag","no tag"," Open Mouth Smile with Teeth / Scared Pattern"
"344","3626pb0636","Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Frown / Determined Pattern (Superman)","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0636","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0636&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0636#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0636&ColorID=90","#faccae","no tag","no tag"," Frown / Determined Pattern (Superman)"
