"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode"
"393",638,"3626pb3517","Minifigure, Head Dual Sided Child Dark Orange Eyebrows, Nougat Freckles, Grin with Medium Nougat Dimple / Surprised Open Mouth with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3517","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3517&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3517#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3517&ColorID=90","#faccae"
"394",639,"3626pb3591","Minifigure, Head Dual Sided Child Dark Tan Eyebrows, Medium Nougat Freckles and Chin Dimple, Open Mouth Smile with Teeth / Surprised Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3591","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3591&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3591#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3591&ColorID=90","#faccae"
"395",640,"3626pb3687","Minifigure, Head Dual Sided Child Female Black Eyebrows, Single Eyelashes, Grin / Sad Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3687","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3687&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3687#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3687&ColorID=241","#d9c594"
"396",641,"3626pb3748","Minifigure, Head Dual Sided Child Female Black Eyebrows, Single Eyelashes, Open Mouth Smile / Closed Eyes and Red Tongue Sticking Out Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3748","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3748&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3748#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3748&ColorID=150","#dd9f55"
"397",642,"3626pb3639","Minifigure, Head Dual Sided Child Female Dark Brown Eyebrows, Open Mouth Smile with Teeth / Determined Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3639","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3639&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3639#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3639&ColorID=90","#faccae"
"398",643,"3626pb3699","Minifigure, Head Dual Sided Child Female Dark Orange Eyebrows and Freckles Smile / Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3699","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3699&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3699#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3699&ColorID=90","#faccae"
"399",644,"3626pb3618","Minifigure, Head Dual Sided Child, Thin Black Eyebrows, Closed Mouth Smile / Open Mouth Smile Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3618","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3618&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3618#T=C","Sienna",169,"https://www.bricklink.com/catalogPG.asp?P=3626pb3618&ColorID=169","#915C3C"
"400",645,"3626pb3749","Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Black Glasses, White Moustache, Medium Nougat Wrinkles, Open Mouth Smile / Scared Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3749","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3749&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3749#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3749&ColorID=241","#d9c594"
"401",647,"3626pb3697","Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache and Beard, Simulated Wear, Frown / Open Mouth Smile with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3697","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3697&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3697#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3697&ColorID=3","#f3d000"
"402",649,"3626pb3721","Minifigure, Head Dual Sided Dark Brown Eyebrows and Beard, Neutral / Open Mouth Smile with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3721","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3721&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3721#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb3721&ColorID=28","#f8ae79"
