"","ID","Name","Year","Parts","Sets","link"
"165","118","Glow In Dark Trans","2005 - 2011","17","23","https://www.bricklink.com/catalogList.asp?v=2&colorID=118"
"166","101","Glitter Trans-Clear","1999 - 2023","16","33","https://www.bricklink.com/catalogList.asp?v=2&colorID=101"
"167","222","Glitter Trans-Orange","2020 - 2020","1","1","https://www.bricklink.com/catalogList.asp?v=2&colorID=222"
"168","163","Glitter Trans-Neon Green","2015 - 2018","1","8","https://www.bricklink.com/catalogList.asp?v=2&colorID=163"
"169","162","Glitter Trans-Light Blue","2015 - 2024","17","29","https://www.bricklink.com/catalogList.asp?v=2&colorID=162"
"170","102","Glitter Trans-Purple","2000 - 2024","16","66","https://www.bricklink.com/catalogList.asp?v=2&colorID=102"
"171","100","Glitter Trans-Dark Pink","1999 - 2024","12","40","https://www.bricklink.com/catalogList.asp?v=2&colorID=100"
"172","111","Speckle Black-Silver","2005 - 2013","15","49","https://www.bricklink.com/catalogList.asp?v=2&colorID=111"
"173","151","Speckle Black-Gold","2010 - 2011","2","4","https://www.bricklink.com/catalogList.asp?v=2&colorID=151"
"174","116","Speckle Black-Copper","2006 - 2006","5","3","https://www.bricklink.com/catalogList.asp?v=2&colorID=116"
"175","117","Speckle DBGray-Silver","2006 - 2006","5","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=117"
"176","123","Mx White","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=123"
"177","124","Mx Light Bluish Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=124"
"178","125","Mx Light Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=125"
"179","126","Mx Charcoal Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=126"
"180","127","Mx Tile Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=127"
"181","128","Mx Black","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=128"
"182","131","Mx Tile Brown","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=131"
"183","134","Mx Terracotta","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=134"
"184","132","Mx Brown","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=132"
"185","133","Mx Buff","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=133"
"186","129","Mx Red","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=129"
"187","130","Mx Pink Red","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=130"
"188","135","Mx Orange","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=135"
"189","136","Mx Light Orange","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=136"
"190","137","Mx Light Yellow","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=137"
"191","138","Mx Ochre Yellow","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=138"
"192","139","Mx Lemon","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=139"
"193","141","Mx Pastel Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=141"
"194","140","Mx Olive Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=140"
"195","142","Mx Aqua Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=142"
"196","146","Mx Teal Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=146"
"197","143","Mx Tile Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=143"
"198","144","Mx Medium Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=144"
"199","145","Mx Pastel Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=145"
"200","147","Mx Violet","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=147"
"201","148","Mx Pink","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=148"
"202","149","Mx Clear","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=149"
"203","210","Mx Foil Dark Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=210"
"204","211","Mx Foil Light Gray","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=211"
"205","212","Mx Foil Dark Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=212"
"206","213","Mx Foil Light Green","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=213"
"207","214","Mx Foil Dark Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=214"
"208","215","Mx Foil Light Blue","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=215"
"209","216","Mx Foil Violet","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=216"
"210","217","Mx Foil Red","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=217"
"211","218","Mx Foil Yellow","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=218"
"212","219","Mx Foil Orange","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=219"
