"","item_number","description","category"
"111","3626pb2962","Minifigure, Head Dual Sided Child Female Black Eyebrows, Eyelashes, Bright Light Orange Lips and Circles on Cheeks, Medium Nougat Freckles, Lopsided Grin / Closed Eyes and Open Mouth Smile with Top Teeth, Braces, and Red Tongue Pattern","2022"
"112","3626pb3095","Minifigure, Head Dual Sided Child Female Black Eyebrows, Medium Nougat Freckles, Lopside Grin / Small Smile with Teeth Pattern","2022"
"113","3626pb3086","Minifigure, Head Dual Sided Child Female Black Eyebrows, Peach Lips, Lopsided Grin / Open Smile with Teeth Pattern","2022"
"114","3626pb3035","Minifigure, Head Dual Sided Child Female Black Eyebrows, Single Eyelashes, Dark Tan Mud Spots, Grin / Scared Open Mouth with Teeth Pattern","2022"
"115","3626pb3145","Minifigure, Head Dual Sided Child Female Reddish Brown Eyebrows, Medium Nougat Lips, Smile with Raised Eyebrow / Grimace Pattern","2022"
"116","3626pb2960","Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Bright Light Orange Circles on Cheeks, Lopsided Grin / Open Mouth Smile with Top Teeth and Red Tongue Pattern","2022"
"117","3626pb2999","Minifigure, Head Dual Sided Child, Black Eyebrows and Eyes with White Pupils, Glasses / Smirk with Teeth Pattern","2022"
"118","3626pb2992","Minifigure, Head Dual Sided Child, Black Eyebrows and Eyes with White Pupils, Smirk with Open Mouth Smile, Reddish Brown Freckles / Sad Pattern","2022"
"119","3626pb3083","Minifigure, Head Dual Sided Child, Black Eyebrows, Open Mouth Smile with Teeth, with / without Dark Turquoise Glasses Pattern","2022"
"120","3626pb3089","Minifigure, Head Dual Sided Child, Black Eyebrows, Smile with Teeth / Lopsided Grin Pattern","2022"
"121","3626pb3039","Minifigure, Head Dual Sided Child, Black Eyebrows, Wide Smile with Teeth / Dark Purple Mask Pattern","2022"
"122","3626pb2998","Minifigure, Head Dual Sided Child, Reddish Brown Freckles, Grin / Scared Open Mouth, Black Eyebrows Pointed Ends Pattern","2022"
"123","3626pb2935","Minifigure, Head Dual Sided Clown Bright Green Eyebrows and Lips, Orange Circles on Cheeks, Closed Mouth Smile and Open Eyes / Open Mouth Smile and Closed Eyes Pattern","2022"
"124","3626pb3051","Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Black Glasses, Reddish Brown Contour Lines, Smile / Scared Pattern","2022"
"125","3626pb3112","Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Medium Nougat Wrinkles, Stubble, Confused / Lopsided Grin Pattern","2022"
"126","3626pb3134","Minifigure, Head Dual Sided Dark Brown Eyebrows and Full Beard, Nougat Cheek Lines, Neutral / Angry with Open Mouth with Teeth Pattern","2022"
"127","3626pb3160","Minifigure, Head Dual Sided Dark Brown Eyebrows, Chin Dimple, Grin / Smile with Teeth Pattern","2022"
"128","3626pb3128","Minifigure, Head Dual Sided Dark Brown Eyebrows, Wide Grin with Raised Eyebrow Right / Neutral Pattern","2022"
"129","3626pb3135","Minifigure, Head Dual Sided Dark Orange Eyebrows and Beard, Open Mouth with White Teeth / Closed Mouth and Gold Headset Pattern","2022"
"130","3626pb3189","Minifigure, Head Dual Sided Dark Orange Eyebrows, Medium Nougat Freckles, Dark Tan Scuff Mark, Lopsided Grin / Eating Pattern","2022"
"131","3626pb3213","Minifigure, Head Dual Sided Dark Orange Eyebrows, Moustache, and Beard, Neutral / Angry Open Mouth Frown with Teeth Pattern","2022"
"132","3626pb3002","Minifigure, Head Dual Sided Dark Tan Eyebrows and Goatee, Nougat Cheek Lines, Neutral / Laughing with Open Mouth and Closed Eyes Pattern","2022"
"133","3626pb3011","Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, Blue Milk Stains, Open Mouth Smile and Wink / Sad Pattern (SW Luke Skywalker)","2022"
"134","3626pb3133","Minifigure, Head Dual Sided Dark Tan Eyebrows, Nougat Cheek Lines and Chin Dimple, Neutral / Angry with Open Mouth with Teeth Pattern","2022"
"135","3626pb3049","Minifigure, Head Dual Sided Dark Tan Thick Eyebrows and Moustache, Nougat Cheek Lines / Dark Orange Eyebrows, Worried Smile Pattern","2022"
"136","3626pb2963","Minifigure, Head Dual Sided Female Black Eyebrows and Beauty Mark, Medium Nougat Lips, Lopsided Grin / Surprised Pattern","2022"
"137","3626pb3173","Minifigure, Head Dual Sided Female Black Eyebrows and Glasses, Lopsided Grin / Open Mouth Smile Pattern","2022"
"138","3626pb2956","Minifigure, Head Dual Sided Female Black Eyebrows and Mask, Medium Nougat Lips, and Open Mouth Smile with Teeth / Frown Pattern","2022"
"139","3626pb3015","Minifigure, Head Dual Sided Female Black Eyebrows Thick, Single Eyelashes, Dark Brown Lips, Open Mouth Smile with Top Teeth and Red Tongue / Smirk Pattern","2022"
"140","3626pb3082","Minifigure, Head Dual Sided Female Black Eyebrows, Dark Orange Glasses, Medium Nougat Lips, Lopsided Grin / Frown Pattern","2022"
"141","3626pb3111","Minifigure, Head Dual Sided Female Black Eyebrows, Dark Red Lips, Medium Nougat Contour Lines, Small Smile / Scowl Pattern","2022"
"142","3626pb3170","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Dark Orange Lips, Lopsided Grin with Dimple / Open Mouth Smile with Teeth Pattern","2022"
"143","3626pb2932","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Nougat Lips, Open Mouth Smile with Teeth / Lopsided Grin Pattern","2022"
"144","3626pb3165","Minifigure, Head Dual Sided Female Black Eyebrows, Glasses, Peach Lips, Open Mouth Smile / Scared Pattern","2022"
"145","3626pb3169","Minifigure, Head Dual Sided Female Black Eyebrows, Light Nougat Vitiligo, Reddish Brown Lips, Grin / Open Mouth Smile Pattern","2022"
"146","3626pb3147","Minifigure, Head Dual Sided Female Black Eyebrows, Medium Nougat Lips, and Smile / Metallic Light Blue Face Paint and Olive Green Headset Pattern","2022"
"147","3626pb3172","Minifigure, Head Dual Sided Female Black Eyebrows, Nougat Eye Shadow and Lips, Open Smile / Disgust with Raised Eyebrow Right Pattern","2022"
"148","3626pb2958","Minifigure, Head Dual Sided Female Black Eyebrows, Red Lips, Smile with Teeth / Worried with Sweat Pattern","2022"
"149","3626pb3168","Minifigure, Head Dual Sided Female Black Eyebrows, Reddish Brown Lips, Frown with Raised Eyebrow Left / Open Mouth Smile Pattern","2022"
"150","3626pb3061","Minifigure, Head Dual Sided Female Black Eyebrows, Short Eyelashes, Nougat Lips, Grin / Bared Teeth and Red Eyes Pattern","2022"
"151","3626pb3163","Minifigure, Head Dual Sided Female Black Eyebrows, Silver Round Glasses, Neutral / Smile with Teeth Pattern","2022"
"152","3626pb3174","Minifigure, Head Dual Sided Female Black Thick Eyebrows, Chin Dimple, Open Mouth Smile / Gritted Teeth Pattern","2022"
"153","3626pb3003","Minifigure, Head Dual Sided Female Black Thin Eyebrows, Red Lips, Silver Glasses, Smile / Laughing with Open Mouth Pattern","2022"
"154","3626pb2967","Minifigure, Head Dual Sided Female Blue Domino Mask, Dark Pink Lips, Grin / Open Smile Pattern","2022"
"155","3626pb3009","Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Black Eyelashes, Medium Nougat Dimples and Wrinkles, Nougat Lips, Grin / Concerned Open Mouth with Top Teeth Pattern","2022"
"156","3626pb2964","Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Black Eyelashes, Medium Nougat Lips, Grin / Open Mouth Smile with Teeth Pattern","2022"
"157","3626pb3017","Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Dark Orange Wrinkles and Lips, Grin / Scowl Pattern","2022"
"158","3626pb3171","Minifigure, Head Dual Sided Female Dark Brown Eyebrows Thick, Black Eyelashes, Nougat Lips, Lopsided Grin / Open Mouth Smile with Top Teeth Pattern","2022"
"159","3626pb3186","Minifigure, Head Dual Sided Female Dark Brown Eyebrows, Nougat Freckles and Lips, Angry / Scared Pattern","2022"
"160","3626pb3192","Minifigure, Head Dual Sided Female Dark Orange Eyebrows, Nougat Freckles and Lips, Smile / Angry Pattern","2022"
"161","3626pb3101","Minifigure, Head Dual Sided Female Dark Pink Lips, Dark Orange Eye Shadow, Tan Horns, Neutral / Grimace Pattern (SW Theelin Dancer)","2022"
"162","3626pb3190","Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Bright Pink Lips, Smile / Silver and Metallic Pink Spectrespecs Pattern","2022"
"163","3626pb2933","Minifigure, Head Dual Sided Female Light Bluish Gray Eyebrows, Black Eyelashes, Magenta Glasses, Nougat Lips and Dimples, Grin, Open Eyes / Closed Eyes Pattern","2022"
