"","category","link","num_pages"
"101","Friends TV Series","https://www.bricklink.com/catalogList.asp?catType=M&catString=1154",1
"102","Fusion","https://www.bricklink.com/catalogList.asp?catType=M&catString=822",1
"103","Games","https://www.bricklink.com/catalogList.asp?catType=M&catString=1166",3
"104","Games","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1166",3
"105","Games","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=1166",3
"106","Ghostbusters","https://www.bricklink.com/catalogList.asp?catType=M&catString=870",1
"107","Harry Potter","https://www.bricklink.com/catalogList.asp?catType=M&catString=227",8
"108","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=227",8
"109","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=227",8
"110","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=227",8
"111","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=227",8
"112","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=227",8
"113","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=227",8
"114","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=227",8
"115","Hero Factory","https://www.bricklink.com/catalogList.asp?catType=M&catString=749",1
"116","Hidden Side","https://www.bricklink.com/catalogList.asp?catType=M&catString=1042",2
"117","Hidden Side","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1042",2
"118","Holiday & Event","https://www.bricklink.com/catalogList.asp?catType=M&catString=390",6
"119","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=390",6
"120","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=390",6
"121","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=390",6
"122","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=390",6
"123","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=390",6
"124","Homemaker","https://www.bricklink.com/catalogList.asp?catType=M&catString=85",1
"125","Horizon","https://www.bricklink.com/catalogList.asp?catType=M&catString=1227",1
"126","Indiana Jones","https://www.bricklink.com/catalogList.asp?catType=M&catString=605",1
"127","Island Xtreme Stunts","https://www.bricklink.com/catalogList.asp?catType=M&catString=449",1
"128","Jurassic World","https://www.bricklink.com/catalogList.asp?catType=M&catString=850",3
"129","Jurassic World","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=850",3
"130","Jurassic World","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=850",3
"131","Legends of Chima","https://www.bricklink.com/catalogList.asp?catType=M&catString=787",4
"132","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=787",4
"133","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=787",4
"134","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=787",4
"135","LEGO Brand","https://www.bricklink.com/catalogList.asp?catType=M&catString=976",5
"136","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=976",5
"137","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=976",5
"138","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=976",5
"139","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=976",5
"140","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?catType=M&catString=817",3
"141","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=817",3
"142","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=817",3
"143","Legoland","https://www.bricklink.com/catalogList.asp?catType=M&catString=277",2
"144","Legoland","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=277",2
"145","Legoland Parks","https://www.bricklink.com/catalogList.asp?catType=M&catString=572",1
"146","Master Builder Academy","https://www.bricklink.com/catalogList.asp?catType=M&catString=764",1
"147","Minecraft","https://www.bricklink.com/catalogList.asp?catType=M&catString=801",3
"148","Minecraft","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=801",3
"149","Minecraft","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=801",3
"150","Minions The Rise Of Gru","https://www.bricklink.com/catalogList.asp?catType=M&catString=1070",1
"151","Monkie Kid","https://www.bricklink.com/catalogList.asp?catType=M&catString=1100",2
"152","Monkie Kid","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1100",2
"153","Monster Fighters","https://www.bricklink.com/catalogList.asp?catType=M&catString=781",1
"154","Nexo Knights","https://www.bricklink.com/catalogList.asp?catType=M&catString=868",4
"155","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=868",4
"156","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=868",4
"157","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=868",4
"158","Ninja","https://www.bricklink.com/catalogList.asp?catType=M&catString=284",1
"159","Ninjago","https://www.bricklink.com/catalogList.asp?catType=M&catString=759",14
"160","Ninjago","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=759",14
"161","Ninjago","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=759",14
"162","Ninjago","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=759",14
"163","Ninjago","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=759",14
"164","Ninjago","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=759",14
"165","Ninjago","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=759",14
"166","Ninjago","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=759",14
"167","Ninjago","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=759",14
"168","Ninjago","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=759",14
"169","Ninjago","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=759",14
"170","Ninjago","https://www.bricklink.com/catalogList.asp?pg=12&catType=M&catString=759",14
"171","Ninjago","https://www.bricklink.com/catalogList.asp?pg=13&catType=M&catString=759",14
"172","Ninjago","https://www.bricklink.com/catalogList.asp?pg=14&catType=M&catString=759",14
"173","Overwatch","https://www.bricklink.com/catalogList.asp?catType=M&catString=975",1
"174","Pharaoh's Quest","https://www.bricklink.com/catalogList.asp?catType=M&catString=757",1
"175","Pirates","https://www.bricklink.com/catalogList.asp?catType=M&catString=61",5
"176","Pirates","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=61",5
"177","Pirates","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=61",5
"178","Pirates","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=61",5
"179","Pirates","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=61",5
"180","Pirates of the Caribbean","https://www.bricklink.com/catalogList.asp?catType=M&catString=761",1
"181","Power Miners","https://www.bricklink.com/catalogList.asp?catType=M&catString=689",1
"182","Primo","https://www.bricklink.com/catalogList.asp?catType=M&catString=294",1
"183","Prince of Persia","https://www.bricklink.com/catalogList.asp?catType=M&catString=734",1
"184","Promotional","https://www.bricklink.com/catalogList.asp?catType=M&catString=983",1
"185","Quatro","https://www.bricklink.com/catalogList.asp?catType=M&catString=537",1
"186","Queer Eye","https://www.bricklink.com/catalogList.asp?catType=M&catString=1163",1
"187","Racers","https://www.bricklink.com/catalogList.asp?catType=M&catString=179",3
"188","Racers","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=179",3
"189","Racers","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=179",3
"190","Rock Raiders","https://www.bricklink.com/catalogList.asp?catType=M&catString=62",1
"191","Scala","https://www.bricklink.com/catalogList.asp?catType=M&catString=102",1
"192","School Supplies","https://www.bricklink.com/catalogList.asp?catType=M&catString=447",1
"193","Scooby-Doo","https://www.bricklink.com/catalogList.asp?catType=M&catString=856",1
"194","Space","https://www.bricklink.com/catalogList.asp?catType=M&catString=34",5
"195","Space","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=34",5
"196","Space","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=34",5
"197","Space","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=34",5
"198","Space","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=34",5
"199","Speed Champions","https://www.bricklink.com/catalogList.asp?catType=M&catString=842",2
"200","Speed Champions","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=842",2
"201","Speed Racer","https://www.bricklink.com/catalogList.asp?catType=M&catString=608",1
"202","Spider-Man","https://www.bricklink.com/catalogList.asp?catType=M&catString=469",1
"203","SpongeBob SquarePants","https://www.bricklink.com/catalogList.asp?catType=M&catString=573",1
"204","Sports","https://www.bricklink.com/catalogList.asp?catType=M&catString=473",7
"205","Sports","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=473",7
"206","Sports","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=473",7
"207","Sports","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=473",7
"208","Sports","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=473",7
"209","Sports","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=473",7
"210","Sports","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=473",7
"211","Star Wars","https://www.bricklink.com/catalogList.asp?catType=M&catString=65",26
"212","Star Wars","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=65",26
"213","Star Wars","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=65",26
"214","Star Wars","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=65",26
"215","Star Wars","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=65",26
"216","Star Wars","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=65",26
"217","Star Wars","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=65",26
"218","Star Wars","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=65",26
"219","Star Wars","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=65",26
"220","Star Wars","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=65",26
"221","Star Wars","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=65",26
"222","Star Wars","https://www.bricklink.com/catalogList.asp?pg=12&catType=M&catString=65",26
"223","Star Wars","https://www.bricklink.com/catalogList.asp?pg=13&catType=M&catString=65",26
"224","Star Wars","https://www.bricklink.com/catalogList.asp?pg=14&catType=M&catString=65",26
"225","Star Wars","https://www.bricklink.com/catalogList.asp?pg=15&catType=M&catString=65",26
"226","Star Wars","https://www.bricklink.com/catalogList.asp?pg=16&catType=M&catString=65",26
"227","Star Wars","https://www.bricklink.com/catalogList.asp?pg=17&catType=M&catString=65",26
"228","Star Wars","https://www.bricklink.com/catalogList.asp?pg=18&catType=M&catString=65",26
"229","Star Wars","https://www.bricklink.com/catalogList.asp?pg=19&catType=M&catString=65",26
"230","Star Wars","https://www.bricklink.com/catalogList.asp?pg=20&catType=M&catString=65",26
"231","Star Wars","https://www.bricklink.com/catalogList.asp?pg=21&catType=M&catString=65",26
"232","Star Wars","https://www.bricklink.com/catalogList.asp?pg=22&catType=M&catString=65",26
"233","Star Wars","https://www.bricklink.com/catalogList.asp?pg=23&catType=M&catString=65",26
"234","Star Wars","https://www.bricklink.com/catalogList.asp?pg=24&catType=M&catString=65",26
"235","Star Wars","https://www.bricklink.com/catalogList.asp?pg=25&catType=M&catString=65",26
"236","Star Wars","https://www.bricklink.com/catalogList.asp?pg=26&catType=M&catString=65",26
"237","Stranger Things","https://www.bricklink.com/catalogList.asp?catType=M&catString=1043",1
