item_number,description,color,gender,age,emotion
3626cpb0872,"Minifigure, Head Dual Sided LotR Bilbo Brown Eyebrows, Smile / Sad Pattern",Light Nougat,neutral,young adult,smile
3626cpb0872,"Minifigure, Head Dual Sided LotR Bilbo Brown Eyebrows, Smile / Sad Pattern",Light Nougat,neutral,young adult,frown
3626cpb0834,"Minifigure, Head Dual Sided LotR Braided Eyebrows and Wrinkles, Happy / Angry Pattern (Nori)",Light Nougat,neutral,older adult,smile
3626cpb0834,"Minifigure, Head Dual Sided LotR Braided Eyebrows and Wrinkles, Happy / Angry Pattern (Nori)",Light Nougat,neutral,older adult,frown
3626cpb0866,"Minifigure, Head Dual Sided LotR Bushy Gray Eyebrows, Wrinkles, Calm / Frowning Pattern (Balin)",Light Nougat,neutral,older adult,smile
3626cpb0866,"Minifigure, Head Dual Sided LotR Bushy Gray Eyebrows, Wrinkles, Calm / Frowning Pattern (Balin)",Light Nougat,neutral,older adult,frown
3626cpb2671,"Minifigure, Head Dual Sided Black Eyebrows, Gold Glasses, Reddish Brown Mutton Chops, Happy / Open Mouth Smile Pattern",Light Nougat,male,young adult,smile
3626cpb2671,"Minifigure, Head Dual Sided Black Eyebrows, Gold Glasses, Reddish Brown Mutton Chops, Happy / Open Mouth Smile Pattern",Light Nougat,male,young adult,happy
3626cpb1460,"Minifigure, Head Dual Sided Dark Brown Sideburns and Eyebrows, White Pupils with Lopsided / Happy Pattern (Howard Wolowitz)",Light Nougat,male,young adult,smile
3626cpb1460,"Minifigure, Head Dual Sided Dark Brown Sideburns and Eyebrows, White Pupils with Lopsided / Happy Pattern (Howard Wolowitz)",Light Nougat,male,young adult,happy
3626cpb2329,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Smirk / Open Mouth Smile with Tongue Pattern",Light Nougat,neutral,young adult,smile
3626cpb2329,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Smirk / Open Mouth Smile with Tongue Pattern",Light Nougat,neutral,young adult,happy
3626cpb1670,"Minifigure, Head Dual Sided Beard Stubble, Brown Eyebrows, Smile / Neutral Pattern (SW Cassian Andor)",Light Nougat,male,young adult,smile
3626cpb1670,"Minifigure, Head Dual Sided Beard Stubble, Brown Eyebrows, Smile / Neutral Pattern (SW Cassian Andor)",Light Nougat,male,young adult,neutral
3626cpb1651,"Minifigure, Head Dual Sided Black Glasses, Reddish Brown Eyebrows, Sheepish Happy / Dark Pink Eyes Pattern",Light Nougat,neutral,young adult,smile
