item_number,description,category,gender,item_link,parts_link,temp,gender2,release_year
cty0621,"Police - City Bandit Male with Brown and Gray Beard, Black Knit Cap",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0621,https://www.bricklink.com/catalogItemInv.asp?M=cty0621,"NA",male,2016
cty0735,"Police - City Bandit Male with Dark Green Zip Jacket, Dark Green Legs, Black Knit Cap",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0735,https://www.bricklink.com/catalogItemInv.asp?M=cty0735,"NA",male,2017
cty0754,"Police - City Bandit Male with Orange Vest, Black Knit Cap, Moustache Curly Long",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0754,https://www.bricklink.com/catalogItemInv.asp?M=cty0754,"NA",male,2017
cty0746,"Police - City Bandit Male with Red Overalls, Black Knit Cap, Backpack, Lopsided Open Smile",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0746,https://www.bricklink.com/catalogItemInv.asp?M=cty0746,"NA",male,2017
cty0709,"Police - City Bandit Male with Red Overalls, Black Knit Cap, Lopsided Open Smile",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0709,https://www.bricklink.com/catalogItemInv.asp?M=cty0709,"NA",male,2017
cty0478,"Police - City Bandit Male, Black Hair, Mask",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0478,https://www.bricklink.com/catalogItemInv.asp?M=cty0478,"NA",male,2014
cty0453,"Police - City Bandit Male, Black Knit Cap, Backpack, Mask",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0453,https://www.bricklink.com/catalogItemInv.asp?M=cty0453,"NA",male,2014
cty0462,"Police - City Bandit Male, Black Knit Cap, Mask",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0462,https://www.bricklink.com/catalogItemInv.asp?M=cty0462,"NA",male,2014
cty0701,"Police - City Bandit Male, Black Knit Cap, Moustache Handlebar",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0701,https://www.bricklink.com/catalogItemInv.asp?M=cty0701,"NA",male,2017
cty0774,"Police - City Helicopter Pilot Female, Leather Jacket with Gold Badge and Utility Belt, Dark Blue Legs, White Helmet, Peach Lips Slight Smile",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0774,https://www.bricklink.com/catalogItemInv.asp?M=cty0774,"NA",female,2017
cty0733,"Police - City Helicopter Pilot Female, Light Blue Glasses",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0733,https://www.bricklink.com/catalogItemInv.asp?M=cty0733,"NA",female,2017
cty1311,"Police - City Helicopter Pilot Female, Safety Vest with Police Badge, Dark Blue Legs, White Helmet",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1311,https://www.bricklink.com/catalogItemInv.asp?M=cty1311,"NA",female,2021
cty0739,"Police - City Helicopter Pilot Female, Silver Sunglasses",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0739,https://www.bricklink.com/catalogItemInv.asp?M=cty0739,"NA",female,2017
cty0702,"Police - City Leather Jacket with Gold Badge and Utility Belt, White Helmet, Trans-Black Visor, Peach Lips Smirk",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0702,https://www.bricklink.com/catalogItemInv.asp?M=cty0702,"NA",female,2017
