Image,Item ID,Description,Color code,Colour ID,BL color,BL Part #,Main Group Top,Main Group,Price per unit EURO,USD,BL cost for 100+,BL savings %,BL URL,comments,total qty,,Alice,,WBI,,Bob x2,,Dave,,Jordan x2,,Dave Smith,,Kelli Smith,,Nicole/Shawn x2,,Cass,,Brad,,Koen,,Tom
,4600307,5 M. Ø3.2 BONE,1,WHITE,,,LEGO,FOODSTUFF,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4188143,"6X8 BRICK, Ø 4,85",26,BLACK,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4211848,"6X8 BRICK, Ø 4,85",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6021763,"6X8 BRICK, Ø 4,85",1,WHITE,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6176382,"ACCESSORIES, KITCHEN",102,MD.BLUE,,,LEGO,FIGURE ACCESSORIES I,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6299790,"ACCESSORIES, KITCHEN",325,LAVENDER,,,LEGO,FIGURE ACCESSORIES I,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6262127,"ACCESSORIES, MARINE LIFE, NO. 1",353,CORAL,,,LEGO,FIGURE ACCESSORIES I,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4644070,"ACCESSORIES, MEDICAL",323,AQUA,,,LEGO,FIGURE ACCESSORIES I,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4539951,ADMIRAL'S HAT,26,BLACK,,,LEGO,"FIGURE, HEAD CLOTHIN",0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4540699,"ADMIRAL'S HAT ""NO 1""",26,BLACK,,,LEGO,"FIGURE, HEAD CLOTHIN",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6051541,"AERIAL Ø24X6.4 ""NO 1000""",336,SILVER INK,,,LEGO,"PLATES, SPECIAL CIRC",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
