rb,Picture,Element Id,Element Name,Color (common),Color TLG,Price DKK,Price EUR
1282,,4216581,ROUND PLATE 1X1,reddish brown,reddish brown,"0,05","0,01"
5304,,614101,ROUND PLATE 1X1,white,white,"0,05","0,01"
5305,,614121,ROUND PLATE 1X1,red,bright red,"0,05","0,01"
5306,,614123,ROUND PLATE 1X1,blue,bright blue,"0,05","0,01"
5307,,614124,ROUND PLATE 1X1,yellow,bright yellow,"0,05","0,01"
5308,,614126,ROUND PLATE 1X1,black,black,"0,05","0,01"
3664,,6051507,"ROUND PLATE 1X1 ""NO. 1000""",336,336,"0,22","0,03"
3103,,6010831,ROUND PLATE 2X2 W/EYE,black,black,"0,19","0,03"
8959,,6252205,"ROUND PLATE ÃƒÂ˜32X6,4",trans clear,transparent clear,"0,67","0,09"
8970,,6252265,"ROUND PLATE ÃƒÂ˜32X6,4",trans light blue,transparent light blue,"0,61","0,08"
8971,,6252268,"ROUND PLATE ÃƒÂ˜32X6,4",trans neon orange,transparent flourescent reddish orange,"0,84","0,11"
8972,,6252269,"ROUND PLATE ÃƒÂ˜32X6,4",trans red,transparent red,"0,70","0,09"
349,,396001,ROUND PLATE ÃƒÂ˜32X6.4,white,white,"0,42","0,06"
350,,396026,ROUND PLATE ÃƒÂ˜32X6.4,black,black,"0,41","0,05"
1198,,4211664,ROUND PLATE ÃƒÂ˜32X6.4,LBG (light bluish gray),medium stone grey,"0,42","0,06"
1344,,4223981,ROUND PLATE ÃƒÂ˜32X6.4,DBG (dark bluish gray),dark stone grey,"0,48","0,06"
2725,,4625045,ROUND PLATE ÃƒÂ˜32X6.4,reddish brown,reddish brown,"0,49","0,07"
3024,,6003002,ROUND PLATE ÃƒÂ˜32X6.4,Bright Light Orange,flame yellowish orange,"0,46","0,06"
6672,,6192843,ROUND PLATE ÃƒÂ˜32X6.4,dark blue,earth blue,"0,50","0,07"
7479,,6217974,"ROUND PLATE ÃƒÂ˜32X6.4, NO. 2",white,white,"2,20","0,29"
9053,,6252971,"ROUND PLATE ÃƒÂ˜32X6.4, NO. 40",trans neon orange,transparent flourescent reddish orange,"2,69","0,36"
9050,,6252961,"ROUND PLATE ÃƒÂ˜32X6.4, NO. 41",trans light blue,transparent light blue,"2,41","0,32"
8067,,6230373,"ROUND PLATE ÃƒÂ˜32X6.4, NO. 5",black,black,"2,19","0,29"
1534,,4268409,ROUND PLATE ÃƒÂ˜64X9.6,DBG (dark bluish gray),dark stone grey,"1,95","0,26"
3200,,6019243,ROUND PLATE ÃƒÂ˜64X9.6,white,white,"1,96","0,26"
4371,,6096944,ROUND PLATE ÃƒÂ˜64X9.6,LBG (light bluish gray),medium stone grey,"2,40","0,32"
8630,,6249387,ROUND PLATE ÃƒÂ˜64X9.6,107,107,"1,81","0,24"
4141,,6076677,ROUND SHIELD,silver metallic,silver metallic,"0,42","0,06"
3446,,6033016,ROUND SIGN 1X5X3,white,white,"0,99","0,13"
6638,,6192148,ROUND SIGN 1X5X3,dark blue,earth blue,"0,92","0,12"
448,,4116816,ROUND SIGN W. SNAP,white,white,"0,31","0,04"
1878,,4521341,"ROUND SIGN, 50",white,white,"1,35","0,18"
3918,,6060734,"ROUND TILE 2X2 NO. ""1003""",white,white,"0,73","0,10"
4804,,6115714,ROWING BOAT 5X14X2 1/3,reddish brown,reddish brown,"4,11","0,55"
3662,,6051417,"ROYAL CROWN, NR. ""1100""",335,335,"8,40","1,13"
3501,,6036424,RUBBER ATTACHMENT FOR TRACK ELEMENT,red,bright red,"0,49","0,07"
5278,,6139223,RUBBER ATTACHMENT FOR TRACK NO.2,black,black,"0,37","0,05"
6484,,6185551,RUBBER ATTACHMENT FOR TRACK NO.2,orange,bright orange,"0,39","0,05"
2520,,4609642,RUBBER BOAT 22X10X3,blue,bright blue,"13,87","1,86"
3389,,6029882,RUBBER BOAT 6X10,orange,bright orange,"7,05","0,94"
4468,,6099480,RUBBER BOAT 6X10,yellow,bright yellow,"6,54","0,88"
10,,234001,RUDDER 1X4X3,white,white,"1,29","0,17"
2868,,4651541,RUDDER 1X4X3,black,black,"1,28","0,17"
3136,,6013636,RUDDER 1X4X3,red,bright red,"1,33","0,18"
5099,,6133621,RUDDER 1X4X3,DBG (dark bluish gray),dark stone grey,"1,29","0,17"
8336,,6240710,RUDDER 1X4X3,LBG (light bluish gray),medium stone grey,"1,48","0,20"
9288,,6254953,RUDDER 1X4X3,blue,bright blue,"1,30","0,17"
6033,,6172423,RUDDER 1X8 W/ SHAPE,white,white,"0,86","0,12"
2254,,4560933,Rudder 2x12x5,white,white,"2,70","0,36"
5514,,6150470,Rudder 2x12x5,red,bright red,"2,84","0,38"
9112,,6253365,RUDDER 2X3X2,white,white,"1,00","0,13"
9113,,6253367,RUDDER 2X3X2,blue,bright blue,"1,18","0,16"
1707,,4500562,RUDDER 2X6X4,DBG (dark bluish gray),dark stone grey,"0,83","0,11"
3708,,6054539,RUDDER 2X6X4,red,bright red,"0,95","0,13"
4299,,6093011,RUDDER 2X6X4,black,black,"0,81","0,11"
4368,,6096717,RUDDER 2X6X4,trans green,transparent bright green,"1,14","0,15"
5720,,6164287,RUDDER 2X6X4,blue,bright blue,"0,83","0,11"
7634,,6221689,RUDDER 2X6X4,orange,bright orange,"0,84","0,11"
8271,,623901,RUDDER 2X6X4,white,white,"0,82","0,11"
8692,,6250104,RUDDER 2X6X4,dark red,dark red,"0,89","0,12"
7962,,6227762,"RUDDER 2X6X4, NO. 1",red,bright red,"3,39","0,45"
8983,,6252368,"RUDDER 2X6X4, NO. 2",white,white,"2,84","0,38"
5997,,6171909,RUDDER NO. 1,black,black,"0,72","0,10"
8343,,6242131,SACK TRUCK,red,bright red,"0,82","0,11"
2692,,4622669,SADDLE 2X2 W 1 KNOB,medium blue,medium blue,"1,77","0,24"
3015,,6002630,SADDLE 2X2 W 1 KNOB,medium lavender,medium lavender,"1,77","0,24"
7412,,6216889,SADDLE 2X2 W 1 KNOB,dark azur,dark azur,"1,75","0,23"
7014,,6209851,"SAIL, NO. 106",trans clear,transparent clear,"12,02","1,61"
3307,,6023467,Saint GeorgeÃ‚Â´s Cross,LBG (light bluish gray),medium stone grey,"1,42","0,19"
8736,,6250390,SAMURAI ARMOUR,red,bright red,"0,60","0,08"
3280,,6022242,SAMURAI HELMET W/ÃƒÂ˜3.2 HOLDER,black,black,"0,60","0,08"
7440,,6217489,SAMURAI HELMET W/ÃƒÂ˜3.2 HOLDER,pearl gold,warm gold,"0,63","0,08"
2863,,4651462,SAMURAI VISOR,red,bright red,"0,30","0,04"
7463,,6217735,SAMURAI VISOR,white,white,"0,30","0,04"
7611,,6220743,SATELLITE DISH 6X6,trans clear,transparent clear,"1,34","0,18"
8280,,6239432,"SATELLITE DISH 6X6, NO.5",trans clear,transparent clear,"4,25","0,57"
2310,,4567908,SATELLITE DISH ÃƒÂ˜16,green,dark green,"0,10","0,01"
2343,,4570283,SATELLITE DISH ÃƒÂ˜16,blue,bright blue,"0,13","0,02"
2400,,4585146,SATELLITE DISH ÃƒÂ˜16,red,bright red,"0,14","0,02"
2611,,4617765,SATELLITE DISH ÃƒÂ˜16,tan,brick yellow,"0,13","0,02"
2964,,4660435,SATELLITE DISH ÃƒÂ˜16,reddish brown,reddish brown,"0,13","0,02"
3254,,6021969,SATELLITE DISH ÃƒÂ˜16,dark tan,sand yellow,"0,13","0,02"
4886,,6121816,SATELLITE DISH ÃƒÂ˜16,lime,bright yellowish green,"0,17","0,02"
4151,,6078236,"SATELLITE DISH ÃƒÂ˜16 NO. ""1000""",335,335,"1,17","0,16"
6350,,6178683,"SATELLITE DISH ÃƒÂ˜16 NO. ""1000""",336,336,"0,48","0,06"
8670,,6249936,SAUCER FOR BALL 3M,LBG (light bluish gray),medium stone grey,"0,79","0,11"
5385,,6144805,SAUSAGE,red,bright red,"0,21","0,03"
5634,,6156414,SAUSAGE,black,black,"0,24","0,03"
9416,,6258994,SAUSAGE,Bright Light Orange,flame yellowish orange,"0,24","0,03"
3705,,6054533,SAW BLADE ÃƒÂ˜36.744,silver metallic,silver metallic,"1,13","0,15"
5938,,6170793,SAW BLADE ÃƒÂ˜36.744,orange,bright orange,"1,26","0,17"
7355,,6215042,Saw blade ÃƒÂ¸71.32,DBG (dark bluish gray),dark stone grey,"2,26","0,30"
3548,,6038163,"SAXOPHONE W. ÃƒÂ˜3,2 SHAFT",pearl gold,warm gold,"1,57","0,21"
9564,,6269998,SCARF,black,black,"0,44","0,06"
4381,,6096993,SCISSORS W. 3.2 SHAFT,silver metallic,silver metallic,"0,27","0,04"
3901,,6058748,SCOOTER,red,bright red,"2,49","0,33"
9130,,6253483,SCOOTER,medium azur,medium azur,"2,70","0,36"
7594,,6220463,"SCOOTER, NO. 2",107,107,"1,08","0,14"
8862,,6251333,SCORPION,dark blue,earth blue,"1,58","0,21"
9419,,6259035,SCORPION,tan,brick yellow,"1,83","0,25"
1914,,4523556,SCREEN 1X6X1 W. EDGE,white,white,"0,49","0,07"
1997,,4532589,SCREEN 1X6X1 W. EDGE,LBG (light bluish gray),medium stone grey,"0,48","0,06"
2154,,4547625,SCREEN 1X6X1 W. EDGE,black,black,"0,47","0,06"
5934,,6170764,SCREEN 1X6X1 W. EDGE,green,dark green,"0,50","0,07"
6016,,6172286,SCREEN 1X6X1 W. EDGE,DBG (dark bluish gray),dark stone grey,"0,48","0,06"
6605,,6189193,SCREEN 1X6X1 W. EDGE,blue,bright blue,"0,44","0,06"
6934,,6207476,SCREEN 1X6X1 W. EDGE,orange,bright orange,"0,46","0,06"
7349,,6215022,SCREEN 1X6X1 W. EDGE,lime,bright yellowish green,"0,50","0,07"
7931,,6227220,SCREEN 1X6X1 W. EDGE,dark blue,earth blue,"0,52","0,07"
8581,,6248959,SCREEN 1X6X1 W. EDGE,sand blue,sand blue,"0,52","0,07"
7786,,6224780,SCYTHE BLADE,reddish brown,reddish brown,"0,34","0,05"
6478,,6185476,"SEALION, W/ HOLE DIA. 1.5 NO. 2",sand blue,sand blue,"2,64","0,35"
362,,407901,SEAT 2X2X2,white,white,"0,36","0,05"
363,,407921,SEAT 2X2X2,red,bright red,"0,38","0,05"
364,,407923,SEAT 2X2X2,blue,bright blue,"0,36","0,05"
365,,407924,SEAT 2X2X2,yellow,bright yellow,"0,37","0,05"
366,,407926,SEAT 2X2X2,black,black,"0,35","0,05"
1035,,4211206,SEAT 2X2X2,reddish brown,reddish brown,"0,37","0,05"
1919,,4524930,SEAT 2X2X2,DBG (dark bluish gray),dark stone grey,"0,45","0,06"
2041,,4538760,SEAT 2X2X2,dark green,earth green,"0,47","0,06"
7586,,6219785,SEAT 2X2X2,tan,brick yellow,"0,41","0,05"
8053,,6230230,SEAT 2X2X2,LBG (light bluish gray),medium stone grey,"0,45","0,06"
