item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,na_description,search_link
6288063,"MINI HEAD, NO. 3072",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Black Eyebrows, Left Lowered, Lopsided Grin, Sly Expression Pattern - Hollow Stu",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6288063#T=A
6303546,"MINI HEAD, NO. 3679",68375,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=68375,"Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Peach Lips, Open Smile / Lopsided Smile Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6303546#T=A
6305730,"MINI HEAD, NO. 3680",68436,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=68436,"Minifigure, Head Dual Sided Female Light Bluish Gray Eyebrows, Magenta Glasses and Open Eyes / Closed Eyes Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6305730#T=A
6338854,"MINI HEAD, NO. 3528",77745,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=77745,"Minifigure, Head Black Eyebrows, Beard, Open Mouth Grin, White Teeth, Red Tongue Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6338854#T=A
6339079,"MINI HEAD, NO. 3535",77778,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=77778,"Minifigure, Head Dual Sided Black Eyebrows, Moustache, Open Mouth Grin, White Teeth / Bandage on Forehead Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6339079#T=A
6350457,"MINI HEAD, NO. 3555",79116,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=79116,"Minifigure, Head Beard Light Bluish Gray and White Full, Thick Moustache and Eyebrows Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6350457#T=A
6351352,"MINI HEAD, NO. 3540",79216,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=79216,"Minifigure, Head Dual Sided Medium Nougat Eyebrows and Sideburns, Smile / Scared Open Mouth with Teeth and Red Tongue Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6351352#T=A
6352820,"MINI HEAD, NO. 3560",79426,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=79426,"Minifigure, Head White and Gray Beard, Bushy Eyebrows and Moustache, Laugh Lines, White Pupils Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6352820#T=A
6361751,"MINI HEAD, NO. 3561",80109,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=80109,"Minifigure, Head Dual Sided, Child, Black Eyebrows, Freckles, Small Open Smile / Sleeping Pattern - Hollow Stud",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,child,FALSE,https://www.bricklink.com/v2/search.page?q=6361751#T=A
6375487,"MINI HEAD, NO. 3624",84784,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=84784,"Minifigure, Head Dual Sided Female Black Eyebrows, Peach Lips and Black Mask Pattern / Open Mouth Smile - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6375487#T=A
6384051,"MINI HEAD, NO. 3667",98261,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98261,"Minifigure, Head Black Thick Eyebrows, 3 Bright Light Blue Sweat Drops, Open Mouth with Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6384051#T=A
6384076,"MINI HEAD, NO. 3661",98479,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98479,"Minifigure, Head Light Bluish Gray Eyebrows, Open Smile, Dark Orange Cheek Lines and Crow's Feet Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6384076#T=A
6384086,"MINI HEAD, NO. 3676",98550,Yellow,$0.71,2022,0.71,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98550,"Minifigure, Head Black Eyebrows, Eyes with White Pupils, Hair on Back Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6384086#T=A
6384569,"MINI HEAD, NO. 3670",98831,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98831,"Minifigure, Head Dual Sided Female Black Thin Eyebrows, Red Lips, Silver Glasses, Smile / Laughing with Open Mouth Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6384569#T=A
6384570,"MINI HEAD, NO. 3671",98832,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98832,"Minifigure, Head Dual Sided Dark Tan Eyebrows and Goatee, Nougat Cheek Lines, Neutral / Laughing with Open Mouth and Closed Eyes Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6384570#T=A
6384850,"MINI HEAD, NO. 3672",99042,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=99042,"Minifigure, Head Reddish Brown Thick Eyebrows and Beard, Black Mask, Worried Frown Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6384850#T=A
6384853,"MINI HEAD, NO. 3375",99045,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=99045,"Minifigure, Head Dual Sided, Black Eyebrows, Medium Nougat Freckles, Open Mouth Smile / Scared Worried Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6384853#T=A
