item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type
362601,MINI HEAD,3626,White,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
362624,MINI HEAD,3626,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
4211218,MINI HEAD,3626,Reddish Brown,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
4569361,MINI HEAD,3626,Dark Tan,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
4569547,MINI HEAD,3626,Tan,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6015955,"MINI HEAD ""NO. 1070""",11501,Light Nougat,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=11501,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6018687,"MINI HEAD ""NO 1091""",12535,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=12535,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6021675,"MINI HEAD ""NO 1146""",12784,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=12784,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6021844,"MINI HEAD ""NO 1147""",12813,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=12813,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6021851,"MINI HEAD ""NO 1145""",12814,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=12814,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6029773,"MINI HEAD ""NO 1162""",13455,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=13455,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
