item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,description2,na_description,description3,search_link
6100238,"MINI HEAD ""NO. 1581""",19547,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19547,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100238#T=A
6100238,"MINI HEAD ""NO. 1581""",19547,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19547,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100238#T=A
6100238,"MINI HEAD ""NO. 1581""",19547,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19547,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100238#T=A
6100238,"MINI HEAD ""NO. 1581""",19547,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19547,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100238#T=A
6100238,"MINI HEAD ""NO. 1581""",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100238#T=A
6103921,"MINI HEAD ""NO. 1623""",20234,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20234,"Minifigure, Head Dark Orange Eyebrows and Beard, Broken Tooth, Determined Grin, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6103921#T=A
6103921,"MINI HEAD ""NO. 1623""",20234,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20234,"Minifigure, Head Dark Orange Eyebrows and Beard, Broken Tooth, Determined Grin, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6103921#T=A
6103921,"MINI HEAD ""NO. 1623""",20234,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20234,"Minifigure, Head Dark Orange Eyebrows and Beard, Broken Tooth, Determined Grin, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6103921#T=A
6103921,"MINI HEAD ""NO. 1623""",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dark Orange Eyebrows and Beard, Broken Tooth, Determined Grin, Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6103921#T=A
6107469,"MINI HEAD ""NO. 1642""",20619,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20619,"Minifigure, Head White Moustache, Goatee and Eyebrows, Brown Forehead and Cheek Lines, Slight Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6107469#T=A
