Image,Item ID,Item Description,"Color
ID","Color
Name","Design
ID","Color
Name",Price,Savings,DKK ,USD,"# of
Buyers","Total
Qty",Alice, Bob ,Daniel F, Dave I ,Dave S,David F x2,Jordan x2,Kelli S,Michael,Nicole/Shawn,RJ,Sean E,Tom,These will all be calculated fields; no data entry in this space
,6117940,ANGLE PLATE 1X2 / 2X2,1,White,21712,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6117974,ANGLE PLATE 1X2 / 2X2,21,Br.Red,21712,Red,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6117972,ANGLE PLATE 1X2 / 2X2,199,Dk. St. Grey,21712,Dark Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6117968,ANGLE PLATE 1X2 / 2X2,23,Br.Blue,21712,Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6117969,ANGLE PLATE 1X2 / 2X2,106,Br.Orange,21712,Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6117976,ANGLE PLATE 1X2 / 2X2,192,Red. Brown,21712,Reddish Brown,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6117971,ANGLE PLATE 1X2 / 2X2,28,Dk.Green,21712,Green,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6134634,ANGLE PLATE 1X2 / 2X2,191,Fl. Yell-Ora,21712,Bright Light Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6118832,ANGLE PLATE 1X2 / 2X4,199,Dk. St. Grey,21731,Dark Bluish Gray,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6118827,ANGLE PLATE 1X2 / 2X4,194,Med. St-Grey,21731,Light Bluish Gray,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6118830,ANGLE PLATE 1X2 / 2X4,21,Br.Red,21731,Red,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6118829,ANGLE PLATE 1X2 / 2X4,26,Black,21731,Black,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6118828,ANGLE PLATE 1X2 / 2X4,24,Br.Yel,21731,Yellow,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6195539,ANGLE PLATE 1X2 / 2X4,119,Br.Yel-Green,21731,Lime,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,6194751,ANGLE PLATE 1X2 / 2X4,23,Br.Blue,21731,Blue,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6014615,ANGLE PLATE 1X2/1X4,194,Med. St-Grey,10201,Light Bluish Gray,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6076799,ANGLE PLATE 1X2/1X4,24,Br.Yel,10201,Yellow,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6089574,ANGLE PLATE 1X2/1X4,1,White,10201,White,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6089576,ANGLE PLATE 1X2/1X4,21,Br.Red,10201,Red,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6089577,ANGLE PLATE 1X2/1X4,26,Black,10201,Black,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6123759,ANGLE PLATE 1X2/1X4,192,Red. Brown,10201,Reddish Brown,,,0.40,$0.064,2,2,1,,,,,1,,,,,,,,
,6119159,ANGLE PLATE 1X2/1X4,23,Br.Blue,10201,Blue,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6158058,ANGLE PLATE 1X2/2X4,1,White,21731,White,,,0.48,$0.077,0,0,,,,,,,,,,,,,,
,407001,ANGULAR BRICK 1X1,1,White,4070,White,,,0.16,$0.026,1,1,,,,,,,1,,,,,,,
,407021,ANGULAR BRICK 1X1,21,Br.Red,4070,Red,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,407023,ANGULAR BRICK 1X1,23,Br.Blue,4070,Blue,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,407024,ANGULAR BRICK 1X1,24,Br.Yel,4070,Yellow,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,407026,ANGULAR BRICK 1X1,26,Black,4070,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4118793,ANGULAR BRICK 1X1,5,Brick-Yel,4070,Tan,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4187334,ANGULAR BRICK 1X1,28,Dk.Green,4070,Green,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4211044,ANGULAR BRICK 1X1,199,Dk. St. Grey,4070,Dark Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4211476,ANGULAR BRICK 1X1,194,Med. St-Grey,4070,Light Bluish Gray,,,0.16,$0.026,3,16,,10,,,,5,1,,,,,,,
,4225469,ANGULAR BRICK 1X1,192,Red. Brown,4070,Reddish Brown,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4521571,ANGULAR BRICK 1X1,106,Br.Orange,4070,Orange,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,4539092,ANGULAR BRICK 1X1,154,New Dark Red,4070,Dark Red,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6070689,ANGULAR BRICK 1X1,102,Md.Blue,4070,Medium Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6069010,ANGULAR BRICK 1X1,119,Br.Yel-Green,4070,Lime,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6186006,ANGULAR BRICK 1X1,191,Fl. Yell-Ora,4070,Bright Light Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,4215618,ANGULAR BRICK 1X1 - TR,40,Tr.,30069,Trans-Clear,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,4654582,"ANGULAR PLATE 1,5 TOP 1X2 1/2",194,Med. St-Grey,99781,Light Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6016172,"ANGULAR PLATE 1,5 TOP 1X2 1/2",26,Black,99781,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6018774,"ANGULAR PLATE 1,5 TOP 1X2 1/2",1,White,99781,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6152101,"ANGULAR PLATE 1,5 TOP 1X2 1/2",321,Dark Azur,99781,Dark Azure,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6163471,"ANGULAR PLATE 1,5 TOP 1X2 1/2",23,Br.Blue,99781,Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6185994,"ANGULAR PLATE 1,5 TOP 1X2 1/2",24,Br.Yel,99781,Yellow,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6193782,"ANGULAR PLATE 1,5 TOP 1X2 1/2",106,Br.Orange,99781,Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6000606,ANGULAR PLATE 1.5 BOT. 1X2 1/2,199,Dk. St. Grey,99780,Dark Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
