image,item_number,color_code,description,color,gender,age,emotion
,3626cpb1866,90,"Minifigure, Head Dual Sided Red Eye Mask with Blue and Red Eyes, Buck Teeth, Neutral / Scared Pattern",Light Nougat,neutral,young adult,scared
,3626cpb2734,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Teeth, Concerned / Eyes Closed Pattern",Light Nougat,neutral,child,neutral
,3626cpb2734,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Teeth, Concerned / Eyes Closed Pattern",Light Nougat,neutral,child,sleepy
,3626cpb2202,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Buck Teeth / Closed Eyes and Mouth Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2202,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Buck Teeth / Closed Eyes and Mouth Pattern",Light Nougat,neutral,young adult,sleepy
,3626cpb2390,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Worried / Smiling with Red Tongue Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2390,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Worried / Smiling with Red Tongue Pattern",Light Nougat,neutral,young adult,smirk
,3626cpb1123,90,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils and Chin and Cheek Dimples, Slight Smile / Scared Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb1123,90,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils and Chin and Cheek Dimples, Slight Smile / Scared Pattern",Light Nougat,neutral,young adult,surprised
,3626bpb0127,90,"Minifigure, Head Child Brown Eyebrows and Freckles, Large Pupils Pattern",Light Nougat,neutral,child,neutral
,3626bpx327,90,"Minifigure, Head Glasses with Lightning Bolt on Forehead, Eyebrows Above Glasses Pattern (HP Harry)",Light Nougat,male,young adult,neutral
,3626bpx260,90,"Minifigure, Head Male Brown Hair, Eyebrows, White Pupils Pattern (HP Knight Bus Driver)",Light Nougat,male,young adult,neutral
,3626bpb0567,90,"Minifigure, Head Dual Sided PotC Philip Thick Brown Eyebrows and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,neutral
,3626bpb0567,90,"Minifigure, Head Dual Sided PotC Philip Thick Brown Eyebrows and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,scared
,3626cpb1941,90,"Minifigure, Head Dual Sided Black Eyebrows, Neutral / Green Eyes Angry Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb1941,90,"Minifigure, Head Dual Sided Black Eyebrows, Neutral / Green Eyes Angry Pattern",Light Nougat,neutral,young adult,angry
