Image,Item No.,Description,Expression 1,Expression 2,Color,,,Young Child,Youth/Younger Adult,Older Adult,,,,,,,,,,,
,3626bpb0239,"Minifigure, Head Beard Black & White with Sideburns and Eyebrows, Teeth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0236,"Minifigure, Head Beard Black and Pale Brown with Sideburns and Unibrow, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0220,"Minifigure, Head Beard Black Full, Long Mouth, Thick Eyebrows, White Pupils Pattern (Santis)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1313,"Minifigure, Head Beard Black Stubble and Moustache, Eyepatch, Crow's Feet, Bared Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1594,"Minifigure, Head Beard Black Stubble Long, Eyepatch, Crooked Open Mouth with 2 Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0470,"Minifigure, Head Beard Black with Ragged Edges, Black Eyebrows, Bared Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0217,"Minifigure, Head Beard Black with Trimmed Chin, Full Cheeks, Striped Sideburns, Scowl Eyebrows, Pupils Pattern (Shadow Knight)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0614,"Minifigure, Head Beard Black, Bushy Eyebrows, Angry Mouth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0978,"Minifigure, Head Beard Black, Moustache, Arched Eyebrows, White Pupils, Grim Mouth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1747,"Minifigure, Head Beard Brown Bushy, Moustache, Eyebrows with One Eyebrow Raised, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1904,"Minifigure, Head Beard Brown Stubble, Dark Brown Eyepatch, Freckles Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0764,"Minifigure, Head Beard Dark Orange, Bushy Eyebrows, Wrinkles Pattern (Jack McHammer)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1304,"Minifigure, Head Beard Dark Orange, Gold Teeth, Eyepatch Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0717,"Minifigure, Head Beard Gray and White, Mechanical Left Eye Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0222,"Minifigure, Head Beard Gray Fading to White Hair, White Pupils Pattern (King Mathias)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0323,"Minifigure, Head Beard Red-Brown, Sneer, Eyepatch Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1918,"Minifigure, Head Beard Reddish Brown Stubble, Reddish Brown Bushy Eyebrows, Wrinkles, Open Mouth Scowl Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1927,"Minifigure, Head Beard Stubble Dark Red, Sideburns, Goatee, Curved Black Eyebrows Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0894,"Minifigure, Head Beard Stubble, Black Angry Eyebrows and Scowl, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0603,"Minifigure, Head Beard Stubble, Black Angry Eyebrows with Open Mouth with Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0603,"Minifigure, Head Beard Stubble, Black Angry Eyebrows with Open Mouth with Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0677,"Minifigure, Head Beard Stubble, Brown Angry Eyebrows and Open Angry Mouth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0925,"Minifigure, Head Beard Stubble, Brown Eyebrows and Mouth with Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0312,"Minifigure, Head Beard Stubble, Brown Eyebrows, Bared Teeth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0312,"Minifigure, Head Beard Stubble, Brown Eyebrows, Bared Teeth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0666,"Minifigure, Head Beard Stubble, Moustache, Goatee, Bushy Eyebrows, Scars and Open Mouth Smile Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0990,"Minifigure, Head Beard Stubble, Scars over Right Eyebrow and Mouth, Angry Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2327,"Minifigure, Head Beard Stubble, Sideburns, Eyebrows, Crow's Feet, Scar Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx15,"Minifigure, Head Beard with Angry Brown Eyebrows, Moustache and Blue Bandana Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0185,"Minifigure, Head Beard with Angry Eyebrows and Open Mouth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx132,"Minifigure, Head Beard with Gray Hair, Moustache, and Angry Eyebrows Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx71,"Minifigure, Head Beard with White Beard and Moustache, Crow's Feet Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1930,"Minifigure, Head Black Angry Eyebrows and Moustache Fu Manchu Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1702,"Minifigure, Head Black Bushy Eyebrows, Brown Crow's Feet, Black Curly Moustache Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1874,"Minifigure, Head Black Bushy Eyebrows, Open Mouth Crooked Scowl Pattern (Cole)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1324,"Minifigure, Head Black Bushy Eyebrows, Red Eyes, Moustache and Goatee, Sideburns, Wrinkles Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1881,"Minifigure, Head Black Bushy Eyebrows, Reddish Brown Wrinkes, Open Mouth Scowl with Missing Tooth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2051,"Minifigure, Head Black Eyebrows and Goatee, Brown Forehead Wrinkles, Worried Look Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1824,"Minifigure, Head Black Eyebrows and Muttonchops, Dark Tan Around Eyes, Gruff Expression Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1902,"Minifigure, Head Black Eyebrows, Goatee, Stubble and Large Med. Nougat Scar with Stitches Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0264,"Minifigure, Head Black Goatee, Messy Brown Hair, Cleft Chin, 3 Marks under Left Eye Pattern (Adric)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0533,"Minifigure, Head Black Raised Eyebrows, Angry Open Mouth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1906,"Minifigure, Head Black Thick Eyebrows and Moustache, Angry Expression Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1701,"Minifigure, Head Black Unibrow, Angry Mouth, Stubble Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1500,"Minifigure, Head Bushy Black Eyebrows and Beard, Wrinkles and One White Fang Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0048,"Minifigure, Head Glasses Small with Green Eyes, Stubble, Thin Wide Moustache over Mouth Line Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx319,"Minifigure, Head Glasses with Green and Silver Sunglasses and Scar Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx127,"Minifigure, Head Glasses with Monocle, Scar, and Goatee Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0231,"Minifigure, Head Glasses with Sunglasses, Arched Eyebrows, Open Mouth, and Headset Pattern",Angry,,Yellow,Sunglasses,,,,1,,,,,,,,,,,
,3626bpx332,"Minifigure, Head Male Angry Eyebrows and Gray Camouflage Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx5,"Minifigure, Head Male Angry Eyebrows and Sideburns Ninja Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1587,"Minifigure, Head Male Black Eyebrows, White Pupils, Black Goatee and Dark Orange Cheek Lines Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0539,"Minifigure, Head Male Brown Beard, Brown Eyebrows, Scar Across Left Eyebrow, Open Angry Mouth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0255,"Minifigure, Head Male Brown Hair and Beard with Stubble, Open Mouth, White Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1046,"Minifigure, Head Male Eyepatch Silver with Rivets, Gold Tooth, Stubble Pattern (MetalBeard)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1047,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Frown, Scar Across Left Eye, No Chin Dimple Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1485,"Minifigure, Head Medium Azure Eye Paint, Clenched Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx29,"Minifigure, Head Moustache Angry, White Teeth and Gold Tooth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx30,"Minifigure, Head Moustache Black Angry and Missing Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1187,"Minifigure, Head Moustache Black Split, Goatee, Bushy Eyebrows, Cheek Lines, Angry Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpa4,"Minifigure, Head Moustache Curly Thin, Goatee, Furrowed Brow Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0326,"Minifigure, Head Moustache Handlebar and Sideburns Dark Bluish Gray, White Pupils, Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0326,"Minifigure, Head Moustache Handlebar and Sideburns Dark Bluish Gray, White Pupils, Teeth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0639,"Minifigure, Head Moustache Mutton Chops with Brown and Gray Sideburns, Brown and Gray Eyebrows, Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0639,"Minifigure, Head Moustache Mutton Chops with Dark Tan and Gray Sideburns, Dark Tan and Gray Eyebrows, Pupils Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx4,"Minifigure, Head Moustache White Hair, Eyebrows Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0693,"Minifigure, Head Red Eyes with Black Bushy Eyebrows and Open Angry Mouth Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1821,"Minifigure, Head Red Thick Eyebrows and Braided Moustache, Angry Expression Pattern",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2269,"Minifigure, Head Silver Eyepatch with Rivets, Raised Eyebrow, Gold Tooth, Stubble Pattern (MetalBeard)",Angry,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0181,"Minifigure, Head Male Brown Eyebrows (Left Curved Down), Open Side Smile with Dimples Pattern",Annoyed,,Yellow,,,,1,1,,,,,,,,,,,
,3626cpb2595,"Minifigure, Head Black Eyebrows, Med. Nougat Cheek Lines and Frown Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb2646,"Minifigure, Head Dual Sided Black Thick Eyebrows and Eyes with White Pupils with Smirk / Angry with Open Mouth with White Teeth Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626bpx95,"Minifigure, Head Male HP Draco with Brown Eyebrows, White Pupils, Closed Mouth Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626bpx146,"Minifigure, Head Male HP Lucius with Raised Eyebrows and Angry Smirk Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb1667,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Chin Dimple, Lightning Bolt, Scowl / Open Mouth with Teeth Pattern",Annoyed,Angry,Yellow,,,,1,,,,,,,,,,,,
,3626bpb0212,"Minifigure, Head Glasses with Orange Sunglasses and Smirk Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb0212,"Minifigure, Head Glasses with Orange Sunglasses and Smirk Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626bpb0682,"Minifigure, Head Male Black Thick Eyebrows, Brown Cheek Lines, Determined Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626bpb0234,"Minifigure, Head Male Eyebrows, Long Hair, Headset and Square Eye Device Pattern (Arrow)",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb1884,"Minifigure, Head Dual Sided Black Eyebrows and Pointed Goatee, Stern / Open Mouth Angry Pattern",Annoyed,Angry,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1053,"Minifigure, Head Dual Sided Brown Unibrow, Cheek Lines, Mouth Closed / Mouth Open Angry Pattern",Annoyed,Angry,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0750,"Minifigure, Head Dual Sided Black Sunglasses, Stubble, Scratches, Happy / Black Eyebrows, White Pupils, Determined Pattern (Frank Rock)",Annoyed,Happy,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0429,"Minifigure, Head Male Black Eyebrows with Crow's Feet Wrinkles and White Pupils Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx304,"Minifigure, Head Beard Gray with Gray Eyebrows, Sideburns and Crow's Feet Wrinkles Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1335,"Minifigure, Head Beard Gray with Gray Eyebrows, Sideburns and Stern Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0988,"Minifigure, Head Beard Stubble, Brown Eyebrows, Drop of Sweat and Black Stains Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bps9,"Minifigure, Head Beard with Brown Eyebrows, Moustache and Beard, Black Chin Dimple Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bps4,"Minifigure, Head Beard with SW Gray Beard and Thin Gray Eyebrows Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cps4,"Minifigure, Head Beard with SW Gray Beard and Thin Gray Eyebrows Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1498,"Minifigure, Head Black Eyebrows Staright, White Pupils, Cheek Lines, Frown Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1484,"Minifigure, Head Black Eyebrows, White Pupils, Black Bushy Moustache Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1049,"Minifigure, Head Black Eyebrows, White Pupils, Wrinkles, Cheek Lines, Frown Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2242,"Minifigure, Head Black Eyepatch over Left Eye, Med. Nougat Crow's Feet, Reddish Brown Goatee Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2599,"Minifigure, Head Dark Brown Eyebrows, Dark Tan Moustache and Beard, Dark Brown Highlights, Med. Nougat Cheek Lines Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1328,"Minifigure, Head Dark Orange Eyebrows, Scar over Right Eye, Scowl Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0116,"Minifigure, Head Glasses with Orange Sunglasses on Forehead, Stubble Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0253,"Minifigure, Head Male Black Goatee, Thick Eyebrows and Squint, Closed Mouth, White Pupils Pattern (HP)",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0509,"Minifigure, Head Male Black Thick Eyebrows, Sideburns, Goatee, Moustache and White Pupils Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0179,"Minifigure, Head Male Headband Red with Crooked Mouth with Teeth Pattern",Annoyed,,Yellow,,,,1,,,,,,,,,,,,
,3626bpb0515,"Minifigure, Head Male Long Brown Eyebrows and Light Brown Cheek Lines Pattern (Elf)",Annoyed,,Yellow,,,,1,1,,,,,,,,,,,
,3626bpb0058,"Minifigure, Head Male Long Eyebrows, 2 Lines Mouth, Stubble and Headset Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0041,"Minifigure, Head Moustache HP Brown Bushy Moustache and Eyebrows Pattern",Annoyed,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2441,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Scar, Large Smile with Teeth / Grumpy Pattern",Evil,Frown,Yellow,,,1,,,,,,,,,,,,,
,3626cpb0996,"Minifigure, Head Dual Sided Beard Stubble, Missing Tooth, Open Happy / Frown Pattern",Evil,Scared,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0715,"Minifigure, Head Dual Sided Brown Curved Eyebrows and Moustache, Happy / Scared Pattern",Evil,Scared,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0356,"Minifigure, Head Dual Sided Power Miner Thick Eyebrows and Stubble, Evil Happy / Surprised Pattern",Evil,Surprised,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2283,"Minifigure, Head Angry Eyebrows, Cheek and Forehead and Chin Lines, White Pupils and White Teeth Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1184,"Minifigure, Head Beard Stubble, Gray Bushy Eyebrows, Open Happy, Gold Tooth Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1792,"Minifigure, Head Black Eyebrows Furrowed, Cheek and Smirk Lines, Lopsided Smirk with Teeth Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1355,"Minifigure, Head Gray Eyebrows and Moustache, Red Eyes, Angry with Bared Teeth, Forehead Wrinkles Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0305,"Minifigure, Head Male Angry Eyebrows and White Left Eye with Red Scar, Evil Happy with Teeth Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0301,"Minifigure, Head Male Eyepatch, Gold Teeth, Missing Tooth Pattern",Evil,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2742,"Minifigure, Head Dual Sided Child Black Eyebrows, Raised Right Eyebrow / Eyes Closed Raised Eyebrows Pattern",Frown,Sleepy,Yellow,,,1,,,,,,,,,,,,,
,3626cpb2806,"Minifigure, Head Copper Eyebrows and Age Lines, Reddish Brown Eyes and Mouth Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0526,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Frown, Scar Across Left Eye, Chin Dimple Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626cpb1035,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Scowl Pattern (Lloyd)",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0521,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Thin Line Mouth Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626cpb0521,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Thin Line Mouth Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0524,"Minifigure, Head Male Stern Eyebrows (one Scarred), White Pupils, Brown Chin Dimple Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626cpb0524,"Minifigure, Head Male Stern Eyebrows (one Scarred), White Pupils, Brown Chin Dimple Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0617,"Minifigure, Head Male Stern Eyebrows, White Pupils and Gold Chin Strap Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0039,"Minifigure, Head Male Straight Small Smile and Black Curved Eyebrows Pattern",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626cpb1923,"Minifigure, Head Reddish Brown Eyebrows, Green Eyes, Scowl Pattern (Lloyd)",Frown,,Yellow,,,1,,,,,,,,,,,,,
,3626bpb0445,"Minifigure, Head Dual Sided Red Scars, Scowl / Determined Pattern",Frown,Angry,Yellow,,,,1,,,,,,,,,,,,
,3626cpb2732,"Minifigure, Head Dual Sided Reddish Brown Eyebrows, Green Eyes, Dark Tan Stripes, Scowl / Angry Pattern (Lloyd)",Frown,Angry,Yellow,,,,1,,,,,,,,,,,,
,3626bpac,"Minifigure, Head Face Paint with Gray Stripes across Face Pattern (Achu)",Frown,,Yellow,Facepaint,,,1,,,,,,,,,,,,
,3626cpb2022,"Minifigure, Head Glasses with Light Blue Ski Goggles and Slight Frown Pattern",Frown,,Yellow,,,,1,,,,,,,,,,,,
,3626bpb0195,"Minifigure, Head Male Thin Happy, Black Eyes with White Pupils, No Eyebrows Pattern",Frown,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb1209,"Minifigure, Head Dual Sided Bushy Black Eyebrows and Long Thick Sideburns, Frown / Goggles, Angry Pattern",Frown,Angry,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2148,"Minifigure, Head Dual Sided Reddish Brown Eyebrows and Moustache, Large Smile with Eyes Closed / Smirk Pattern",Frown,Frown,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2307,"Minifigure, Head Dual Sided Irritated Frown / Smile with Wide Open Mouth Showing Tongue Pattern",Frown,Happy,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0363,"Minifigure, Head Dual Sided Bushy Eyebrows and Goatee / Worried Pattern",Frown,Neutral,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0363,"Minifigure, Head Dual Sided Bushy Eyebrows and Goatee / Worried Pattern",Frown,Neutral,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0399,"Minifigure, Head Dual Sided Eyepatch and Gray Beard Closed Mouth / Open Mouth Scared Pattern",Frown,Scared,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0399,"Minifigure, Head Dual Sided Eyepatch and Gray Beard Closed Mouth / Open Mouth Scared Pattern",Frown,Scared,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2041,"Minifigure, Head Dual Sided Thick Black Eyebrows and Stubble, Brown Glasses, Stern / Mouth Open Alarmed Pattern",Frown,Scared,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1890,"Minifigure, Head Dual Sided Reddish Brown Eyebrows, Green Eyes, Lopsided Open Mouth Happy / Gritted Teeth Pattern (Lloyd)",Frown,Smirk,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0684,"Minifigure, Head Beard Stubble, Wrinkles and Worried Look Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0684,"Minifigure, Head Beard Stubble, Wrinkles and Worried Look Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1819,"Minifigure, Head Black Eyebrows, Right Raised Eyebrow, Black Thin Curly Moustache Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb2406,"Minifigure, Head Black Eyebrows, Vertical Cheek Lines, Slight Frown, Chin Dimple and White Pupils Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1878,"Minifigure, Head Black Thick Eyebrows, Large Med. Nougat Scar with Stitches, Closed Mouth Frown Pattern",Frown,,Yellow,,,,,1,"wrinkles, scars",,,,,,,,,,
, 3626bpb0463 ,"Minifigure, Head Blue Eyebrows, Vertical Cheek Lines, Slight Frown, Chin Dimple and White Pupils Pattern - Blocked Open Stud",Frown,,Yellow,,,,,1,wrinkles,,,,,,,,,,
,3626cpb1483,"Minifigure, Head Dark Blue Headband, White Pupils, Black Moustache and Goatee Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0917,"Minifigure, Head Face Paint with Red War Paint Pattern",Frown,,Yellow,Facepaint,,,,1,,,,,,,,,,,
,3626cpb1005,"Minifigure, Head Glasses with Black and Silver Highlighted Sunglasses, Closed Mouth, Dark Brown Sideburns Pattern",Frown,,Yellow,Sunglasses,,,,1,,,,,,,,,,,
,3626bpb0226,"Minifigure, Head Glasses with Headset, Bandana Pattern (Diamond)",Frown,,Yellow,Sunglasses,,,,1,,,,,,,,,,,
,3626bpb0796,"Minifigure, Head Male Black Eyebrows, Cheek Lines and Black Underlined Eyes Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1040,"Minifigure, Head Male Bushy Gray Eyebrows, Wrinkles, Scowl Pattern (Sensei Garmadon)",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx9,"Minifigure, Head Male Eyepatch and Scruffy White Eyebrows Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx72,"Minifigure, Head Male Eyepatch, Frown, Stubble and Gray Eye Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx331,"Minifigure, Head Male Headband Red and Stubble Beard Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0169,"Minifigure, Head Male Orient China Guard Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0532,"Minifigure, Head Male Raised Bushy Eyebrows, White Pupils, Chin Dimple Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb0532,"Minifigure, Head Male Raised Bushy Eyebrows, White Pupils, Chin Dimple Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0219,"Minifigure, Head Male Sideburns with White Stripes, Frown and Facial Hair, White Pupils Pattern (Vladek)",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx93,"Minifigure, Head Male Snarl, Stubble, and Scar Right Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1248,"Minifigure, Head Male Stern Black Eyebrows, Crow's Feet, Cheek Lines, Chin Dimple Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0643,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Frown, Sweat Drops Pattern",Frown,,Yellow,,,,1,,,,,,,,,,,,
,3626cpb0643,"Minifigure, Head Male Stern Black Eyebrows, White Pupils, Frown, Sweat Drops Pattern",Frown,,Yellow,,,,1,,,,,,,,,,,,
,3626bpx133,"Minifigure, Head Male Stubble, Black Messy Hair, and Angry Eyebrows Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0692,"Minifigure, Head Male White and Gray Bushy Eyebrows, Crow's Feet Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx8,"Minifigure, Head Moustache Angry Eyebrows and Striped Sideburns Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpab,"Minifigure, Head Moustache Brown Bushy, Stubble, Under-Eyes Wrinkles, Stripe Sideburns Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626cpb1203,"Minifigure, Head Moustache Curly Long, Stern Eyebrows, White Pupils Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx74,"Minifigure, Head Moustache Frown and Pointed Eyebrows and Hairline Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx73,"Minifigure, Head Moustache Gray Eyes, Frown Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpb0101,"Minifigure, Head Moustache Gray Hair, and Eyebrows Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
,3626bpx39,"Minifigure, Head Moustache Long, Gray Headband with Red Dot Pattern",Frown,,Yellow,,,,,1,,,,,,,,,,,
