Image,Item No.,Description,Expression 1,Expression 2,Color,,,Young Child,Youth/Younger Adult,Older Adult,,,,,,,,,,,
,3626cpb0702,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Angry,Scared,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb0952,"Minifigure, Head Dual Sided LotR Beard, Tattoo and Eyebrow Ring Angry / Surprised Pattern",Angry,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0566,"Minifigure, Head Dual Sided PotC Gibbs Gray Beard and Eyebrows, Crow's Feet, Angry / Scared Pattern",Angry,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0372,"Minifigure, Head Dual Sided Power Miner Beard Stubble, Gray Smudge, Orange Scars, Determined / Alarmed Pattern",Angry,Scared,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb2520,"Minifigure, Head Dual Sided Dark Tan Visor, Stern Black Eyebrows, Chin Strap / Open Mouth Happy Pattern (SW T-16 Skyhopper Pilot)",Angry,Smirk,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb0785,"Minifigure, Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)",Angry,Smirk,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1658,"Minifigure, Head White Eyebrows, Forehead Lines, Wrinkles, Scowl Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0901,"Minifigure, Head Beard Brown Angular, White Eyes, Angry Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0942,"Minifigure, Head Beard Brown, Furrowed Brow Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0316,"Minifigure, Head Beard Dark Orange, Eyebrows and Moustache and Large Blue Eyes Pattern (SW Clone Wars Obi-Wan Kenobi)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0316,"Minifigure, Head Beard Dark Orange, Eyebrows and Moustache and Large Blue Eyes Pattern (SW Clone Wars Obi-Wan Kenobi)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0959,"Minifigure, Head Beard Full Brown with Graying Temples and Wrinkles Pattern (Latham Cole)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0322,"Minifigure, Head Beard Gray with Gray Eyebrows, Downturned Mouth, Deeply Furrowed Brow Pattern (Dooku Clone Wars)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0322,"Minifigure, Head Beard Gray with Gray Eyebrows, Downturned Mouth, Deeply Furrowed Brow Pattern (Dooku Clone Wars)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0945,"Minifigure, Head Beard Gray, Bushy Eyebrows, White Pupils, Scar Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2037,"Minifigure, Head Beard Stubble, Black Arched Eyebrows, White Pupils, Scars and Angry Mouth Pattern (Jango Fett)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0415,"Minifigure, Head Beard Stubble, Black Eyebrows, White Pupils, Frown Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0946,"Minifigure, Head Beard Stubble, Brown Angry Eyebrows, White Pupils Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0423,"Minifigure, Head Beard Stubble, Cleft Chin, Evil Eyes, Arched Eyebrows Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0649,"Minifigure, Head Beard Stubble, Goatee, Scar on Left Cheek and Eyebrow Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0649,"Minifigure, Head Beard Stubble, Goatee, Scar on Left Cheek and Eyebrow, Bared Teeth Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0943,"Minifigure, Head Beard Stubble, Moustache, Brown Eyebrows Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0420,"Minifigure, Head Beard Trimmed, Moustache, Silver Cheek Mark, Determined Expression Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0421,"Minifigure, Head Beard, Moustache, Large Eyepatch, Determined Expression Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0421,"Minifigure, Head Beard, Moustache, Large Eyepatch, Determined Expression Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1977,"Minifigure, Head Black Angry Eyebrows, Silver Glasses, Gritted Teeth Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0817,"Minifigure, Head Black Eyebrows, Cheek Lines, Chin Dimple, Grimacing Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1222,"Minifigure, Head Black Eyebrows, Cheek Lines, White Pupils, Frown Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2301,"Minifigure, Head Black Eyebrows, Goatee, Light Beard, Med. Nougat Cheek Lines Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1257,"Minifigure, Head Black Eyebrows, White Pupils, Cheek Lines, Circles around Eyes, Frown Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0422,"Minifigure, Head Black Goatee, Arched Eyebrows, White Pupils Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0954,"Minifigure, Head Brown Sideburns, Stubble and Angry Expression Pattern (Barret)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1853,"Minifigure, Head Bushy Black Unibrow and Long Thick Sideburns, Off-Center Scowl Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2224,"Minifigure, Head Dark and Light Bluish Gray Eyebrows, Dark Tan Facial Lines Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1322,"Minifigure, Head Glasses with Monocle, Raised Right Eyebrow, Wrinkles, Clenched Teeth Pattern (Baron Von Strucker)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0200,"Minifigure, Head Glasses, Green and Silver, Brown Arched Eyebrows, Open Mouth with Teeth Pattern (Dr. Octopus)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0737,"Minifigure, Head Male Black Angry Eyebrows, Determined Mouth with Teeth, Cheek Lines Pattern (Lex)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0647,"Minifigure, Head Male Black Angry Eyebrows, Frown and Cheek Lines Pattern (Lex)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0647,"Minifigure, Head Male Black Angry Eyebrows, Frown and Cheek Lines Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0314,"Minifigure, Head Male Black Thick Eyebrows, Large Eyes, Cheek Lines Pattern (SW Clone Wars Trooper)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0314,"Minifigure, Head Male Black Thick Eyebrows, Large Eyes, Cheek Lines Pattern (SW Clone Wars Trooper)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1105,"Minifigure, Head Male Brown Thick Eyebrows, Lines under Eyes, Cheek Lines and Open Mouth with Teeth Pattern (Victor)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0258,"Minifigure, Head Male Half Normal, Half Purple with Scar Pattern (Two-Face)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1312,"Minifigure, Head Male Right Eye Scarred Area and No Pupil, Open Mouth Angry Pattern (Shredder)",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1727,"Minifigure, Head Balaclava with Black Eyes, 'Z' in Black Circle, Light Nougat Face with Sneer Pattern",Angry,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0783,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Chin Dimple, Somber / Closed Eyes Pattern (SW Han Solo)",Annoyed,Sleepy,Light Nougat,,,1,1,,,,,,,,,,,,
,3626cpb1709,"Minifigure, Head Bright Pink Headband with Squinted Batman Eyes Pattern",Annoyed,,Light Nougat,,,1,1,,,,,,,,,,,,
,3626bpb0215,"Minifigure, Head Male Stern Black Eyebrows, Black Eyes and Frown Pattern",Annoyed,,Light Nougat,,,1,1,,,,,,,,,,,,
,3626cpb2165,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Suspicious with Left Eyebrow Raised / Angry Pattern",Annoyed,Angry,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2282,"Minifigure, Head Dual Sided Child Freckles, Dark Tan Eyebrows, Chin Dimple on Both Sides, Concerned / Crooked Smile Pattern",Annoyed,Smile,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1414,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Smile Pattern (SW Luke Skywalker)",Annoyed,Smile,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2138,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Mud Stains, Determined / Scared Pattern (SW Han Solo, Mudtrooper)",Annoyed,Surprised,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2262,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Scared, Sunken Left Eye Pattern (SW Luke Skywalker)",Annoyed,Surprised,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2200,"Minifigure, Head Child Reddish Brown Eyebrows, Sneer Pattern",Annoyed,,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2194,"Minifigure, Head Dark Orange Eyebrows, White Pupils and Smirk Pattern",Annoyed,,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1333,"Minifigure, Head Dual Sided Dark Orange Eyebrows and Chin Dimple, Neutral / Angry, Bared Teeth Pattern",Annoyed,Angry,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2107,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, Concerned / Closed Eyes, Meditating Pattern (SW Luke Skywalker)",Annoyed,Annoyed,Light Nougat,Eyes closed,,,1,,,,,,,,,,,,
,3626bpb0634,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Annoyed,Smirk,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb0634,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Annoyed,Smirk,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1367,"Minifigure, Head Dark Brown Eyebrows, White Pupils, Frown, Furrowed Eyebrows Pattern",Annoyed,,Light Nougat,,,,1,,,,,,,,,,,,
,3626bpb0292,"Minifigure, Head Male Black and Red Bangs, Black Eyebrows, Mouth Open to Side Pattern",Annoyed,,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1173,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Cheek Lines, Scowl/Right Eye Scarred Area Pattern (Flashback Shredder)",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,0
,3626cpb1994,"Minifigure, Head Dual Sided Black Eyebrows and Beard, Firm / Angry Expression Pattern",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,0
,3626cpb1263,"Minifigure, Head Dual Sided Black Thick Eyebrows, Cheek Lines, Closed Mouth / Open Mouth with Teeth Pattern",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,0
,3626cpb0753,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Calm / Angry Pattern",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,0
,3626cpb1332,"Minifigure, Head Dual Sided Brown Eyebrows, Stern Expression / Dark Red Goggles, Clenched Teeth Pattern (Hawkeye)",Annoyed,Angry,Light Nougat,,,,1,,,,,,,0,0,0,,,0
,3626cpb1262,"Minifigure, Head Dual Sided Brown Eyebrows, Stubble Beard, Gold Chin Strap, Serious / Bared Teeth Pattern (Hawkman)",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,
,3626cpb2254,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows and Sideburns, Cheek Lines, Frown / Mouth with Teeth Pattern",Annoyed,Angry,Light Nougat,,,,,1,,,,,,0,0,0,,,
,3626cpb2497,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Chin Dimple, Happy / Angry Pattern (SW General Pryde)",Annoyed,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2251,"Minifigure, Head Dual Sided Dark Brown Heavy Stubble, Small Scowl / Furious Expression Pattern",Annoyed,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2521,"Minifigure, Head Dual Sided Dark Orange Beard and Eyebrows, Bared Teeth / Frown Pattern (SW Obi-Wan)",Annoyed,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0751,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Annoyed,Angry,Light Nougat,Masked,,,1,,,,,,,,,,,,
,3626cpb0751,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Annoyed,Angry,Light Nougat,Masked,,,1,,,,,,,,,,,,
,3626cpb1276,"Minifigure, Head Dual Sided Dark Green Eye Mask with Eye Holes, Stubble Beard, Serious / Bared Teeth Pattern (Green Arrow)",Annoyed,Angry,Light Nougat,Masked,,,,1,,,,,,,,,,,
,3626cpb1957,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Worried / Disgusted Expression Pattern",Annoyed,Frown,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb1729,"Minifigure, Head Dual Sided Brown and Gray Beard, Brown Eyebrows, Moustache, White Pupils, Frown / Scared Pattern (SW Qui-Gon)",Annoyed,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2658,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Dark Orange Age Lines, Neutral / Smile Pattern",Annoyed,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0876,"Minifigure, Head Dual Sided Black Glasses, Brown Moustache, Wrinkles, Mouth Closed / Clenched Teeth Pattern",Annoyed,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0417,"Minifigure, Head Dual Sided Beard Stubble, Bushy Eyebrows, Determined / Happy Pattern",Annoyed,Smile,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1091,"Minifigure, Head Dual Sided Black Eye Mask with Red Eye Holes Determined / Smile Pattern (Nightwing)",Annoyed,Smile,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1153,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Forehead Lines, Smile / Determined, Chin Strap Pattern",Annoyed,Smile,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1637,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern with Scars / Smile Pattern (SW Luke Skywalker)",Annoyed,Smile,Light Nougat,,,,1,,,,,,,,,,,,
,3626bpb0385,"Minifigure, Head Beard Brown, Black Pupils and Frown Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1024,"Minifigure, Head Beard Brown, Bushy Eyebrows, White Pupils, Stern Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1577,"Minifigure, Head Beard White, Moustache, Black Eyebrows, Cheek Lines, Sneer Pattern (Captain Rex)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0620,"Minifigure, Head Beard with Brown Eyebrows, Moustache and Beard Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0407,"Minifigure, Head Beard with SW Gray Beard and Eyebrows, Lines under Eyes, Furrowed Brow, White Pupils Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0407,"Minifigure, Head Beard with SW Gray Beard and Eyebrows, Lines under Eyes, Furrowed Brow, White Pupils Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2708,"Minifigure, Head Black and Light Bluish Gray Eyebrows, Gold Glasses, Chin Lines, Light Bluish Gray and White Sideburns Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1988,"Minifigure, Head Black Bushy Eyebrows, White Moustache and Beard with Gray Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1724,"Minifigure, Head Black Eyebrows, Med. Nougat Cheek Lines, Dark Tan Chin Ornament Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2156,"Minifigure, Head Dark Bluish Gray Eyebrows, Dark Orange Crow's Feet and Jowel Lines, Frowning Mouth Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1433,"Minifigure, Head Dark Orange Eyebrows and Sideburns, White Pupils, Frown Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0867,"Minifigure, Head LotR Bushy Brown Eyebrows and Wrinkles with Dark Blue Tattoo on Reverse Pattern (Dwalin)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1033,"Minifigure, Head Male Black Eyebrows, Cheek Lines, Open Mouth, Headset Pattern (SW Imperial Gunner)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0074,"Minifigure, Head Male Brown Eyebrows and Black Chin Strap Pattern",Annoyed,,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb0074,"Minifigure, Head Male Brown Eyebrows and Black Chin Strap Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1120,"Minifigure, Head Male Dark Tan Eyebrows Furrowed, Cheek Lines, Frown, Headset Pattern (SW Airen Cracken)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1752,"Minifigure, Head Male Dark Tan Eyebrows, White Pupils, Cheek Lines, Frown Pattern (SW Director Krennic)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1136,"Minifigure, Head Male Dark Tan Eyebrows, Wrinkles and Headset Pattern (SW General Veers)",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0203,"Minifigure, Head Moustache Dark Bluish Gray Bushy, Dark Bluish Gray Eyebrows, White Pupils Pattern",Annoyed,,Light Nougat,,,,,1,,,,,,,,,,,
