item_number,description,category
twn037,"Jogging Suit, Red Legs, Black Male Hair, Wide Smile and Eyebrows",Town
trn016,"Jogging Suit, White Legs, Red Cap",Town
twn199,Juggling Man,Town
cty0987,"Kayaker, Dark Blue Cap, Orange 2 Strap Life Jacket",Town
cty1241,"Kendo Instructor - White Robe with Dark Blue and Dark Orange Bogu Armor, Light Bluish Gray Hair",Town
cty0941,Kiosk Attendant,Town
twn222,Lady in Red,Town
splc001,Launch Command - Astronaut,Town
splc002,"Launch Command - Astronaut, Air Tanks",Town
splc007,"Launch Command - Astronaut, Helmet, Trans-Neon Green Visor, Blue Air Tanks",Town
splc004,"Launch Command - Crew, Red Cap",Town
splc005,"Launch Command - Crew, Red Helmet, Trans-Light Blue Visor",Town
splc006,Launch Command - Scientist / Professor,Town
cty1070,"Launch Director - Male, Black Vest with Blue Striped Tie, Dark Bluish Gray Legs, Dark Bluish Gray Hair, Glasses and Moustache",Town
cty1057,"Launch Director - Male, Black Vest with Blue Striped Tie, Dark Bluish Gray Legs, Reddish Brown Short Tousled Hair, Glasses",Town
cty0667,"Lawn Worker - Pink Lips, Green Overalls over Plaid Shirt",Town
cty0332,"Leather Jacket with Zipper, Red Lines and Logo Pattern, Light Bluish Gray Short Legs, Light Bluish Gray Sports Helmet",Town
lea005,"Leather Jacket with Zippers - Black Legs, Black Helmet, Black Visor, Male",Town
tel003,"Leather Jacket with Zippers - Black Legs, Black Helmet, Trans-Light Blue Visor, Female",Town
tel002,"Leather Jacket with Zippers - Black Legs, Black Helmet, Trans-Light Blue Visor, Male",Town
trn090,"Leather Jacket with Zippers - Black Legs, Black Male Hair",Town
lea001,"Leather Jacket with Zippers - Black Legs, Black Male Hair, Eyebrows",Town
lea004,"Leather Jacket with Zippers - Black Legs, Blue Cap, Eyebrows",Town
trn086,"Leather Jacket with Zippers - Black Legs, Red Cap",Town
lea002,"Leather Jacket with Zippers - Black Legs, White Cap",Town
trn108,"Leather Jacket with Zippers - Black Legs, White Helmet",Town
lea006,"Leather Jacket with Zippers - Blue Legs, Red Cap, Eyebrows",Town
soc006,"Leather Jacket with Zippers - Brown Legs, Brown Ponytail Hair",Town
lea007,"Leather Jacket with Zippers - Dark Gray Legs and Helmet, Life Jacket",Town
trn087,"Leather Jacket with Zippers - Light Gray Legs, Black Cap, Bandana",Town
trn085,"Leather Jacket with Zippers - Light Gray Legs, Black Male Hair",Town
shell011,"Leather Jacket with Zippers - Light Gray Legs, Brown Male Hair, Eyebrows",Town
lea003,"Leather Jacket with Zippers - Red Legs, Red Cap, Eyebrows",Town
twn275,LEGO Fan,Town
cty0579,"LEGO Store Driver, Black Legs, Red Cap with Hole",Town
cty0578,"LEGO Store Employee, Black Legs, Beard and Glasses",Town
cty1239,"LEGO Store Employee, Black Legs, Dark Orange Tousled Hair, Lopsided Grin",Town
cty0236a,"Lifeguard - Leather Jacket with Zipper, Red Lines and Logo Pattern, Life Jacket Center Buckle, Red Short Bill Cap",Town
cty0236,"Lifeguard - Leather Jacket with Zipper, Red Lines and Logo Pattern, Life Jacket, Red Short Bill Cap",Town
cty0654,"Light Bluish Gray Hoodie with Dark Red Shirt, Dark Bluish Gray Beanie, Dark Blue Legs",Town
cty0707,"Light Bluish Gray Hoodie with Dark Red Shirt, Dark Tan Legs, Dark Brown Tousled Hair, Thin Grin",Town
cty0897,"Light Bluish Gray Overalls with Paint Splatters, Light Bluish Gray Legs, White Short Bill Cap, Stubble",Town
twn262,"Light Keeper Girl, Green Overalls, Short Legs",Town
twn263,"Light Keeper, Blue Anchor Jacket",Town
cty0239,Lighthouse Keeper,Town
twn184,"Lime Jacket with Wrench and Black and White Checkered Pattern, Dark Bluish Gray Legs, Dark Orange Hair, Crooked Smile",Town
rac054,"Lime Jacket with Wrench and Black and White Checkered Pattern, Red Legs, Red Helmet, Trans-Black Visor",Town
rac061,"Lime Jacket with Wrench and Black and White Checkered Pattern, Red Legs, Red Helmet, Trans-Clear Visor",Town
cty0692,"Limousine Driver - Black Vest with Blue Striped Tie, Black Legs, Black Hat, Black Beard",Town
cty1212,"Limousine Driver - Female, Black Vest with Blue Striped Tie, Black Legs, Black Hair, Sunglasses and Peach Lips",Town
cty1093,"Lumberjack - Male, Orange Safety Vest, Reflective Stripes, Reddish Brown Shirt, Sand Blue Legs, Red Construction Helmet, Orange Safety Glasses",Town
cty0157,Lumberjack with Orange Vest,Town
cty1430,"Lunar Research Astronaut - Female, Bright Light Orange and Dark Azure Suit, White Helmet, Dark Blue Visor, Open Mouth Smile",Town
cty1436,"Lunar Research Astronaut - Female, Bright Light Orange and Dark Azure Suit, White Helmet, Metallic Gold Visor, Backpack Lights",Town
cty1411,"Lunar Research Astronaut - Female, Dark Azure Jumpsuit, Dark Orange Hair, Safety Glasses",Town
cty1422,"Lunar Research Astronaut - Female, Dark Azure Jumpsuit, Medium Nougat Hair, Glasses",Town
cty1409,"Lunar Research Astronaut - Female, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Backpack Clips, Open Mouth Smile",Town
cty1413,"Lunar Research Astronaut - Female, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Backpack Clips, Smirk",Town
cty1408,"Lunar Research Astronaut - Female, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Freckles",Town
cty1423,"Lunar Research Astronaut - Female, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Peach Lips Smile",Town
cty1410,"Lunar Research Astronaut - Male, Bright Light Orange and Dark Azure Suit, White Helmet, Dark Blue Visor, Beard",Town
cty1431,"Lunar Research Astronaut - Male, Bright Light Orange and Dark Azure Suit, White Helmet, Dark Blue Visor, Open Mouth Smile",Town
cty1421,"Lunar Research Astronaut - Male, Dark Azure Jumpsuit, Dark Brown Coiled Hair with Short Straight Sides",Town
cty1412,"Lunar Research Astronaut - Male, Dark Azure Jumpsuit, Dark Brown Coiled Hair, Stubble",Town
cty1427,"Lunar Research Astronaut - Male, Dark Azure Jumpsuit, Reddish Brown Spiked Hair, Glasses",Town
cty1415,"Lunar Research Astronaut - Male, Dark Orange Classic Space Jacket, Dark Azure Legs, Dark Blue Cap with Hole, Lopsided Smile (Rover Driver)",Town
cty1424,"Lunar Research Astronaut - Male, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Backpack Clips, Open Mouth Smile",Town
cty1414,"Lunar Research Astronaut - Male, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Backpack Lights, Beard",Town
cty1407,"Lunar Research Astronaut - Male, White and Dark Azure Suit, White Helmet, Metallic Gold Visor, Moustache",Town
cty1390,"Madison - Orange Jacket, Dark Azure Backpack",Town
cty1248,Madison - White Robe with Dark Blue and Dark Orange Bogu Armor,Town
msk001,"Maersk - White Torso (Sticker), Light Gray Legs, Maersk Blue Cap",Town
twn396,"Male Driver with Dark Blue Jacket, Dark Tan Legs with Dark Bluish Gray Splotches, Dark Brown Hair",Town
twn181,Male Guest,Town
twn378,Male with Blue Jacket over Dark Red V-Neck Sweater and Reddish Brown Legs,Town
twn398,"Male with Dark Tan Vest Over Dark Azure Shirt, Dark Tan Legs, Dark Brown Hair",Town
twn390,"Male with Purple Shirt, Dark Turquoise Jacket, Dark Blue Legs and Medium Nougat Hair",Town
twn388,"Male with Tan Knit Sweater, Dark Blue Legs and Dark Brown Hair",Town
twn365,"Male with Vestas Logo on Torso, Dark Blue Legs, Dark Blue Construction Helmet, Glasses",Town
twn366,"Male with Vestas Logo on Torso, Dark Blue Legs, Dark Blue Construction Helmet, Moustache",Town
twn387,"Male, Light Bluish Gray Hair, Dark Bluish Gray Beard, Red Flannel Shirt, Light Bluish Gray Legs",Town
twn386,"Male, Medium Nougat Hair, Red Shirt, Tan Tie, Dark Blue Suspenders, Dark Orange Legs",Town
cty1112,"Male, White and Red Jumpsuit with 'XTREME' Logo, Red Helmet, Orange Life Jacket, Sunglasses",Town
cty1340,"Male, White Shirt with Mountains, Dark Blue Legs, Black Coiled Hair",Town
trn247,"Man - Classic Space Shirt with Red Sleeves, Blue Legs, Red Cap",Town
cty1270,"Man - Dark Blue Plaid Button Shirt, Dark Tan Legs, Light Bluish Gray Hair",Town
cty1246,"Man - Red Flannel Shirt, Reddish Brown Legs, Dark Brown Hair, Sunglasses",Town
twn359,"Man with Dark Brown Hair, Tan Sweater and Dark Green Legs",Town
twn369,"Man with Hawaiian Shirt, Dark Blue Legs, Dark Red Cap",Town
twn371,"Man with Plaid Button Shirt, Dark Green Legs, Dark Orange Hair",Town
twn363,"Man with Red Flannel Shirt, Dark Green Pants and, Dark Brown Hair",Town
twn380,"Man, Dark Azure Hoodie with Green Striped Shirt, Tan Legs, Red Cap",Town
cty1176,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Blue Legs with Belt, White Flight Helmet, Trans-Light Blue Flight Visor, Stubble (Helicopter Pilot)",Town
cty1043,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Blue Legs, Dark Red Cap with Hole, Moustache (Taxi Driver)",Town
twn424,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Bluish Gray Legs, Black Beret, Moustache and Sideburns (Vintage Taxi Driver)",Town
cty1336,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Green Legs, Light Bluish Gray Hair, Beard and Sideburns (Rescue Helicopter Transport Driver)",Town
cty0985,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Dark Brown Short Tousled Hair, Sunglasses (Truck Driver)",Town
cty0913,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Orange Life Jacket, Dark Azure Sports Helmet, Beard (Rafter)",Town
cty1313,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Tan Fedora Hat, Beard (Larry Jones, Adventurer)",Town
cty1236,"Man, Dark Red Jacket with Bright Light Blue Shirt, White Legs, Tan Tousled Hair, Lopsided Grin (Car Driver)",Town
twn331,"Man, Green Striped Shirt under Dark Blue Hoodie, Dark Brown Hair, Dark Blue Legs",Town
twn379,"Man, Tan Tank Top, Black Moustache, Reddish Brown Suspenders and Aviator Cap with Dark Bluish Gray Goggles",Town
twn311,"Manager, Dark Purple Legs",Town
twn102,"Mannequin, Bride",Town
twn101,"Mannequin, Groom",Town
bb0002,Mary,Town
twn155,Mayor,Town
cty1222,"Mayor Fleck - Dark Green Suit Jacket, Corn Cob Costume",Town
mdf001,"MD Foods - White Torso (Sticker on both sides), Green Legs, White Cap",Town
twn358,"Mechanic Female with Dark Blue Cap, Dark Orange Ponytail, Medium Blue Shirt and Blue Overalls, No Back Print",Town
twn358a,"Mechanic Female with Dark Blue Cap, Dark Orange Ponytail, Medium Blue Shirt and Blue Overalls, with Back Print",Town
cty1072,"Mechanic Female, Medium Blue Shirt and Blue Overalls, Dark Orange Ponytail",Town
twn361,"Mechanic Male with Blue Hat, Dark Tan Moustache and Sideburns, Medium Blue Shirt, and Blue Overalls, No Back Print",Town
twn361a,"Mechanic Male with Blue Hat, Dark Tan Moustache and Sideburns, Medium Blue Shirt, and Blue Overalls, with Back Print",Town
cty1406,"Mechanic Male with Red Construction Helmet, Beard, Medium Blue Shirt, and Blue Overalls, with Back Print",Town
twn334,"Mechanic, Dark Green Cap, Dark Blue Legs",Town
cty1030,Mechanical Engineer - Welding Mask,Town
cty0896,"Medic, Female, Peach Lips, Closed Mouth",Town
cty0355,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Black Legs, Tan Tousled and Layered Hair",Town
twn213,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Blue Legs, Dark Brown Ponytail and Swept Sideways Fringe",Town
cty0472,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Light Bluish Gray Legs, Black Bob Cut Hair",Town
twn188,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Light Bluish Gray Legs, Dark Brown Ponytail Long French Braided",Town
twn207,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Tan Legs, Dark Brown Bob Cut Hair",Town
twn189,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Tan Legs, Dark Orange Hair Ponytail Long with Side Bangs",Town
cty0262,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, Tan Legs, Dark Tan Mid-Length Tousled Hair",Town
cty0346,"Medium Blue Female Shirt with Two Buttons and Shell Pendant, White Legs, Bright Light Yellow Female Hair over Shoulder",Town
twn147,"Medium Blue Jacket with Light Purple Scarf, Black Skirt, Bright Light Yellow Female Hair over Shoulder",Town
cty0443,"Medium Blue Jacket with Light Purple Scarf, Dark Blue Legs, Dark Orange Female Hair Mid-Length",Town
cty0331,"Medium Blue Jacket with Light Purple Scarf, Dark Blue Short Legs, Dark Brown Mid-Length Tousled Hair",Town
game006,"Medium Blue Jacket, Black Legs, Black Mid-Length Female Hair",Town
twn044,"Medium Blue Jacket, Dark Blue Legs, Reddish Brown Ponytail Hair",Town
trn125,"Medium Blue Jacket, Light Bluish Gray Legs, Black Mid-Length Female Hair",Town
twn029,"Medium Blue Jacket, Orange Legs, Reddish Brown Ponytail Hair",Town
trn117,"Medium Blue Jacket, White Legs, Black Mid-Length Female Hair",Town
twn024,"Medium Blue Jacket, White Legs, Black Ponytail Hair",Town
twn040,"Medium Blue Jacket, White Legs, Dark Tan Female Hair",Town
twn031,"Medium Blue Jacket, White Legs, Reddish Brown Ponytail Hair",Town
cty0672,"Medium Blue Uniform Shirt with Pocket and Octan Logo, Dark Blue Legs, Dark Brown Smooth Hair",Town
cty0673,"Medium Blue Uniform Shirt with Pocket and Octan Logo, Medium Blue Legs, Blue Cap with Hole",Town
cty0689,"Medium Blue Uniform Shirt with Pocket and Octan Logo, Medium Blue Legs, Blue Cap with Hole, Lopsided Smile",Town
cty0679,"Medium Blue Uniform Shirt with Pocket and Octan Logo, Medium Blue Legs, Blue Short Bill Cap, Goatee",Town
cty0666,"Medium Lavender Jacket over Lavender Shirt, Medium Blue Legs, Dark Orange Female Hair Short Swept Sideways",Town
twn280,"Medium Lavender Jacket over Lavender Shirt, Medium Blue Legs, Reddish Brown Female Hair Mid-Length",Town
cty0902,"Medium Nougat Argyle Sweater, Dark Tan Legs, Black Hair, Large Round Glasses",Town
cty0849,Miner - Equipment Operator,Town
cty0875,Miner - Equipment Operator with Beard,Town
cty0895,"Miner - Equipment Operator with Beard, Reddish Brown Hair",Town
cty0877,Miner - Female Explosives Engineer,Town
cty0885,Miner - Female Explosives Engineer with Dual Sided Head,Town
cty0848,Miner - Female Scientist,Town
cty0876,Miner - Foreman,Town
cty0310,"Miner - Overalls Blue over V-Neck Shirt, Blue Legs, Mining Helmet, Crooked Smile and Scar",Town
cty0311,"Miner - Shirt with Harness and Wrench, Dark Tan Legs, Mining Helmet, Sweat Drops",Town
cty0333,"Miner - Shirt with Harness and Wrench, Sand Blue Legs, Red Short Bill Cap",Town
cty0884,"Miner - Shirt with Straps, Dark Blue Legs, Mining Helmet, Goatee and Moustache",Town
cty0846,"Miner - Shirt with Straps, Dark Blue Legs, Mining Helmet, Stubble and Scar",Town
cty0847,"Miner - Shirt with Straps, Dark Blue Legs, Mining Helmet, Sweat Drops",Town
cty0322,"Miner - Shirt with Tie and Suspenders, Mining Helmet, Beard",Town
twn416,"Mom - Bright Light Orange Jacket, Medium Lavender Legs, Dark Orange Hair",Town
cty1018,"Mom - Bright Pink Female Top, White Legs, Black Hair Coiled and Short",Town
twn234,Mom - Dark Purple and Lavender Striped Top,Town
twn301,"Mom - Green Female Jacket Open with Necklace, Dark Tan Legs, Dark Brown Hair Female Large High Bun",Town
twn299,"Mom - Medium Lavender Jacket over Lavender Shirt, Dark Purple Legs, Dark Orange Female Hair Short Swept Sideways",Town
cty1234,"Mom - Medium Lavender Jacket, Dark Blue Legs, Black Hair",Town
cty1216,"Mom - Medium Lavender Jacket, Medium Nougat Legs, Orange Hair",Town
twn249,"Mom, Bright Pink Top with Butterflies and Flowers, Lime Legs",Town
twn290,"Mom, Medium Lavender Jacket over Lavender Shirt, Dark Tan Legs, Black Hair",Town
twn239,"Mom, Pink Striped Top",Town
cty0856,Monster Truck Driver,Town
cty1107,"Monster Truck Driver, Lime Legs and Jacket with Purple Flames and Arms, White Helmet",Town
cty0385,"Monster Truck Driver, Race Suit with Airborne Spoilers Logo, Black Helmet with Trans-Black Visor, Crooked Smile",Town
cty0475,"Monster Truck Driver, Race Suit with Black and White Swirls, Black Helmet with Trans-Black Visor, Crooked Smile",Town
cty0386,"Monster Truck Mechanic, Race Suit with Airborne Spoilers Logo, Red Cap with Hole, Headphones, Black and Silver Sunglasses",Town
cty0387,"Monster Truck Mechanic, Race Suit with Airborne Spoilers Logo, Red Cap with Hole, Safety Goggles",Town
cty1347,"Mother, Bright Light Blue Hospital Gown, Tan Hair",Town
cty1419,"Motorcycle Driver - Red Helmet, Black Legs, Red Arms",Town
cty0614,Motorcyclist - Ambulance Plane Passenger,Town
cty1097,"Motorcyclist, Stunt Driver",Town
cty0836,Mountain Police - Armored Truck Driver,Town
cty0851,Mountain Police - Crook Female Jacket over 87 Prison Stripes,Town
cty0867,"Mountain Police - Crook Female Jacket over 87 Prison Stripes, Backpack",Town
cty0850,"Mountain Police - Crook Male Bare Chest, White Underwear with Red Pawprints Pattern",Town
cty0872,Mountain Police - Crook Male Stumpy 10K (in tree costume),Town
cty0879,"Mountain Police - Crook Male with Lined Jacket over Prisoner Shirt, Aviator Cap with Goggles",Town
cty0834,"Mountain Police - Crook Male with Lined Jacket over Prisoner Shirt, Red Cap",Town
cty0831,"Mountain Police - Crook Male with Red Fringed Shirt with Strap and Pouch, Red Cap",Town
cty0835,"Mountain Police - Crook Male with Red Fringed Shirt with Strap and Pouch, Skunk Fighter",Town
cty0871,"Mountain Police - Jail Prisoner 50380 Prison Stripes, Black Hair, Beard",Town
cty0890a,"Mountain Police - Jail Prisoner 86753 Prison Stripes, Aviator Helmet, Backpack",Town
cty0890,"Mountain Police - Jail Prisoner 86753 Prison Stripes, Aviator Helmet, Backpack with Money",Town
cty0833,"Mountain Police - Jail Prisoner 86753 Prison Stripes, Black Tousled Hair",Town
cty0869,"Mountain Police - Officer Female, Dark Blue Hat with Dark Orange Hair",Town
cty0854,"Mountain Police - Officer Female, Dirt Bike",Town
cty0852,"Mountain Police - Officer Female, Helicopter Pilot",Town
cty0832,"Mountain Police - Officer Female, Pilot with Helmet and Visor",Town
cty0855,Mountain Police - Officer Male,Town
cty0887,"Mountain Police - Officer Male, Beard, Dark Blue Cap, Sand Blue Jacket",Town
cty0883,"Mountain Police - Officer Male, Dark Blue Cap, Sand Blue Jacket",Town
cty0830,"Mountain Police - Officer Male, Dirt Bike",Town
cty0853,"Mountain Police - Officer Male, Jacket with Harness",Town
cty0946,"Mountain Police - Officer Male, Jacket with Harness, Dark Tan Hat",Town
cty1091,"Mountain Police - Officer Male, Orange Sunglasses",Town
cty0837,"Mountain Police - Officer Male, Speed Boat with Life Jacket Center Buckle",Town
cty0868,"Mountain Police - Officer Male, White Helmet and Smirk",Town
cty0870,Mountain Police - Police Chief Male,Town
cty0932,Museum Caveman,Town
twn274,Music Store Assistant,Town
twn373,"NASA Apollo 11 Astronaut - Male with White Torso with NASA Logo and Lopsided Smile",Town
twn374,"NASA Apollo 11 Astronaut - Male with White Torso with NASA Logo and Thin Grin",Town
cty0921,"Nature Photographer, Female, Medium Nougat Jacket, Sand Blue Legs, Dark Brown Hair Ponytail Long French Braided",Town
cty1098,"Nature Photographer, Tree Disguise",Town
ncklc009,"Necklace Gold - Blue Legs, Black Pigtails Hair",Town
ncklc010,"Necklace Gold - Blue Legs, Red Female Hair",Town
ncklc011,"Necklace Gold - Blue Legs, Red Pigtails Hair",Town
ncklc012,"Necklace Gold - Red Legs, Black Female Hair",Town
ncklc004,"Necklace Gold - Red Legs, Black Pigtails Hair",Town
trn077,"Necklace Gold - Red Legs, Black Ponytail Hair",Town
ncklc003,"Necklace Gold - Red Legs, Red Female Hair",Town
trn006,"Necklace Gold - White Legs, Brown Female Hair",Town
ncklc002,"Necklace Gold - White Legs, Red Female Hair",Town
ncklc008,"Necklace Red - Blue Legs, Black Female Hair",Town
ncklc001,"Necklace Red - Blue Legs, Brown Female Hair",Town
ncklc007,"Necklace Red - Blue Legs, Red Female Hair",Town
ncklc013,"Necklace Red - Red Legs, Black Female Hair",Town
trn007,"Necklace Red - Red Legs, Black Pigtails Hair",Town
trn003,"Necklace Red - Red Legs, Black Ponytail Hair",Town
trn008,"Necklace Red - Red Legs, Brown Female Hair",Town
ncklc006,"Necklace Red - White Legs, Black Female Hair",Town
ncklc005,"Necklace Red - White Legs, Brown Female Hair",Town
twn402,Newsstand Operator,Town
cty1163,"Ocean Mini-Submarine Pilot  - Male, Harness, Sand Blue Legs with Pockets, Red Cap, Lopsided Grin",Town
cty1181,"Ocean Mini-Submarine Pilot - Female, Harness, Sand Blue Legs with Pockets, Black Hair",Town
cty1167,"Ocean Researcher - Female, White Jacket, Sand Blue Legs, Glasses, Medium Nougat Hair",Town
cty1168,"Ocean Submarine Pilot - Male, Harness, Sand Blue Legs with Pockets, Red Cap, Headset",Town
oct023,"Octan - Blue Oil , Blue Legs, Blue Helmet, Trans-Light Blue Visor",Town
oct060,"Octan - Blue Oil, Blue Legs, Black Cap, Smirk and Stubble Beard",Town
oct016,"Octan - Blue Oil, Blue Legs, Blue Cap",Town
oct068,"Octan - Blue Oil, Blue Legs, Blue Short Bill Cap, Silver Sunglasses",Town
oct069,"Octan - Blue Oil, Blue Legs, Dark Red Short Bill Cap, Crooked Smile",Town
oct056a,"Octan - Blue Oil, Blue Legs, Life Jacket with Center Buckle, Blue Short Bill Cap",Town
oct037a,"Octan - Blue Oil, Blue Legs, Life Jacket, Blue Helmet 4 Stars & Stripes, Trans-Light Blue Visor",Town
oct056,"Octan - Blue Oil, Blue Legs, Life Jacket, Blue Short Bill Cap",Town
oct017,"Octan - Blue Oil, Blue Legs, Red Cap",Town
oct049,"Octan - Blue Oil, Blue Legs, Red Cap, Chin Dimple",Town
oct018,"Octan - Blue Oil, Blue Legs, Red Helmet, Trans-Light Blue Visor",Town
oct055,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap (Undetermined Eyebrows)",Town
oct055a,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Black Eyebrows",Town
oct066,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Crooked Smile",Town
oct065,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Open Grin",Town
oct067,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Orange Sunglasses",Town
oct055b,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Reddish Brown Eyebrows",Town
oct064,"Octan - Blue Oil, Blue Legs, Red Short Bill Cap, Smirk and Stubble Beard",Town
oct005,"Octan - Blue Oil, Blue Legs, White Cap",Town
oct022,"Octan - Blue Oil, Blue Legs, White Helmet, Black Visor",Town
oct006,"Octan - Blue Oil, Blue Legs, White Helmet, Black Visor, Life Jacket",Town
oct021,"Octan - Blue Oil, Blue Legs, White Helmet, Trans-Light Blue Visor",Town
oct062,"Octan - Blue Oil, Dark Blue Legs, Blue Cap",Town
oct061,"Octan - Blue Oil, Dark Bluish Gray Legs, Blue Hat, Smirk and Stubble Beard",Town
oct053,"Octan - Blue Oil, Dark Bluish Gray Legs, Red Cap, Glasses",Town
oct063,"Octan - Blue Oil, Light Bluish Gray Legs, Blue Cap",Town
oct070,"Octan - Blue Oil, Red Legs, Red Curved Cap",Town
oct050,"Octan - Blue Oil, Red Legs, Red Flat Cap",Town
oct051,"Octan - Blue Oil, Red Legs, Red Helmet, Trans-Black Visor",Town
oct054,"Octan - Blue Oil, White Legs, Blue Short Bill Cap",Town
oct020,"Octan - Green Jacket with Pen, Black Legs, Red Cap",Town
oct014,"Octan - Green Jacket with Pen, Green Legs, Black Male Hair",Town
oct001,"Octan - Green Jacket with Pen, Green Legs, Red Cap",Town
oct013,"Octan - Green Jacket with Pen, Green Legs, White Cap",Town
oct008,"Octan - Green Jacket with Pen, Light Gray Legs, Brown Ponytail Hair",Town
cty0002,"Octan - Green Jacket with Pockets, Brown Eyebrows, Thin Grin",Town
cty0001,"Octan - Green Jacket with Pockets, Smirk and Stubble Beard, Life Jacket",Town
cty0373,"Octan - Jacket with Red and Green Stripe, Red Hips and Green Legs, Red Helmet, Trans-Black Visor, Silver Sunglasses, Life Jacket Center Buckle",Town
cty0374,"Octan - Jacket with Red and Green Stripe, Red Hips and Green Legs, Red Helmet, Trans-Black Visor, Smirk and Stubble Beard, Life Jacket Center Buckle",Town
oct015,"Octan - Race Team, Green Legs, White Cap",Town
oct044,"Octan - Race Team, White Legs, Green Helmet, Trans-Light Blue Visor",Town
oct024,"Octan - Race Team, White Legs, Red Cap",Town
oct043,"Octan - Race Team, White Legs, Red Helmet, Trans-Light Blue Visor",Town
oct025,"Octan - Race Team, White Legs, White Cap",Town
oct007,"Octan - Race Team, White Legs, White Red/Green Striped Helmet, Black Visor, Life Jacket",Town
oct045,"Octan - Race Team, White Legs, White Red/Green Striped Helmet, Trans-Light Blue Visor",Town
oct027,"Octan - Racing, Blue Legs, Blue Helmet 4 Stars & Stripes, Trans-Light Blue Visor",Town
oct028,"Octan - Racing, Blue Legs, White Helmet, Trans-Light Blue Visor",Town
oct033,"Octan - Racing, Green Legs, White Red/Green Striped Helmet, Trans-Light Blue Visor",Town
oct035,"Octan - Racing, Light Gray Legs, Black Male Hair",Town
oct032,"Octan - Racing, Red Legs, Black Helmet, Trans-Light Blue Visor",Town
oct039,"Octan - Racing, Red Legs, Blue Helmet 4 Stars & Stripes, Trans-Light Blue Visor",Town
oct034,"Octan - Racing, Red Legs, Red Cap",Town
oct029,"Octan - Racing, Red Legs, Red Helmet 7 White Stars, Black Visor",Town
oct026,"Octan - Racing, Red Legs, Red Helmet 7 White Stars, Trans-Light Blue Visor",Town
oct036,"Octan - Racing, Red Legs, Red Helmet 7 White Stars, Trans-Light Blue Visor, Life Jacket",Town
oct030,"Octan - Racing, Red Legs, Red Helmet, Trans-Light Blue Visor",Town
oct031,"Octan - Racing, Red Legs, White Helmet, Black Visor",Town
oct040,"Octan - Racing, Red Legs, White Helmet, Trans-Light Blue Visor",Town
oct042,"Octan - Stars, Green Legs, Red Helmet 7 White Stars, Trans-Dark Blue Visor",Town
oct041,"Octan - Stars, White Legs, Black Helmet, Trans-Light Blue Visor",Town
oct038,"Octan - Stars, White Legs, White Helmet, Trans-Dark Blue Visor",Town
oct010,"Octan - White Logo, Blue Legs, Black Female Hair",Town
oct048,"Octan - White Logo, Blue Legs, Black Mid-Length Female Hair",Town
oct052,"Octan - White Logo, Blue Legs, Blue Cap",Town
oct047,"Octan - White Logo, Blue Legs, Reddish Brown Male Hair",Town
oct002,"Octan - White Logo, Green Legs, Black Female Hair",Town
oct004,"Octan - White Logo, Green Legs, Black Male Hair",Town
oct009,"Octan - White Logo, Green Legs, Black Ponytail Hair",Town
oct012,"Octan - White Logo, Green Legs, Red Cap",Town
oct012new2,"Octan - White Logo, Green Legs, Red Cap Long Bill (Reissue)",Town
oct012new,"Octan - White Logo, Green Legs, Red Cap Short Bill (Reissue)",Town
oct003,"Octan - White Logo, Green Legs, Red Helmet, Trans-Light Blue Visor",Town
oct011,"Octan - White Logo, Red Legs, Red Helmet, Trans-Light Blue Visor",Town
oct046,"Octan - White Logo, White Legs, Black Female Hair",Town
twn278,Office Worker,Town
twn279,"Orange Halter Top with Medium Blue Trim and Flowers Pattern, Blue Legs, Bright Light Yellow Ponytail and Swept Sideways Fringe",Town
twn142,"Orange Halter Top with Medium Blue Trim and Flowers Pattern, Blue Short Legs, Black Ponytail Hair",Town
