parts_id,count,head_link,num_minifigs,type,num_outside,perc_not,has_outside,minifigs_link
3626cpb1397,5,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1397,6,male,1,17,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1397&in=M
3626cpb1398,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1398,20,female,17,85,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1398&in=M
3626cpb1399,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1399,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1399&in=M
3626cpb1446,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1446,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1446&in=M
3626cpb1447,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1447,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1447&in=M
3626cpb1455,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1455,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1455&in=M
3626cpb1532,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1532,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1532&in=M
3626cpb1549,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1549,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1549&in=M
3626cpb1568,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1568,11,female,10,91,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1568&in=M
3626cpb1571,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1571,19,female,17,89,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1571&in=M
3626cpb1583,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1583,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1583&in=M
3626cpb1661,5,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1661,7,neutral,2,28.999999999999996,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1661&in=M
3626cpb1667,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1667,5,neutral,1,20,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1667&in=M
3626cpb1687,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1687,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1687&in=M
3626cpb1690,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1690,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1690&in=M
3626cpb1703,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1703,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1703&in=M
3626cpb1705,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1705,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1705&in=M
3626cpb1735,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1735,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1735&in=M
3626cpb1749,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1749,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1749&in=M
3626cpb1759,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1759,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1759&in=M
3626cpb1760,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1760,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1760&in=M
3626cpb1761,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1761,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1761&in=M
3626cpb1762,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1762,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1762&in=M
3626cpb1778,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1778,20,female,19,95,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1778&in=M
3626cpb1790,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1790,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1790&in=M
3626cpb1791,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1791,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1791&in=M
3626cpb1792,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1792,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1792&in=M
3626cpb1842,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1842,6,female,5,83,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1842&in=M
3626cpb1843,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1843,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1843&in=M
3626cpb1869,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1869,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1869&in=M
3626cpb1879,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1879,20,neutral,19,95,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1879&in=M
3626cpb1886,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1886,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1886&in=M
3626cpb1888,9,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1888,9,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1888&in=M
3626cpb1889,30,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1889,30,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1889&in=M
3626cpb1890,29,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1890,30,neutral,1,3,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1890&in=M
3626cpb1891,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1891,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1891&in=M
3626cpb1892,28,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1892,29,neutral,1,3,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1892&in=M
3626cpb1893,27,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1893,29,neutral,2,7.000000000000001,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1893&in=M
3626cpb1894,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1894,8,neutral,7,88,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1894&in=M
3626cpb1895,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1895,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1895&in=M
3626cpb1899,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1899,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1899&in=M
3626cpb1900,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1900,2,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1900&in=M
3626cpb1901,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1901,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1901&in=M
3626cpb1902,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1902,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1902&in=M
3626cpb1903,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1903,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1903&in=M
3626cpb1904,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1904,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1904&in=M
3626cpb1905,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1905,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1905&in=M
3626cpb1906,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1906,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1906&in=M
3626cpb1907,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1907,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1907&in=M
3626cpb1917,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1917,3,neutral,1,33,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1917&in=M
3626cpb1918,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1918,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1918&in=M
3626cpb1919,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1919,2,male,1,50,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1919&in=M
3626cpb1923,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1923,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1923&in=M
3626cpb1926,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1926,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1926&in=M
3626cpb1927,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1927,6,male,3,50,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1927&in=M
3626cpb1928,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1928,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1928&in=M
3626cpb1929,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1929,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1929&in=M
3626cpb1930,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1930,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1930&in=M
3626cpb1931,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1931,6,male,2,33,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1931&in=M
