image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link
,col035,"Samurai Warrior, Series 3 (Minifigure Only without Stand and Accessories)",Japanese,col03-4,"Samurai Warrior, Series 3 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 3 Minifigures,male,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col035#T=S&O={%22iconly%22:0}
,col206,"Samurai, Series 13 (Minifigure Only without Stand and Accessories)",Japanese,col13-12,"Samurai, Series 13 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 13 Minifigures,female,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col206#T=S&O={%22iconly%22:0}
,col032,"Pharaoh, Series 2 (Minifigure Only without Stand and Accessories)",Egyptian,col02-16,"Pharaoh, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col032#T=S&O={%22iconly%22:0}
,col156,"Revolutionary Soldier, Series 10 (Minifigure Only without Stand and Accessories)",European,col10-12,"Revolutionary Soldier, Series 10 (Complete Set with Stand and Accessories)",Collectible Minifiguers: Series 10 Minifigures,male,2013,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=117794#T=S&O={%22iconly%22:0}
,col088,"Minotaur, Series 6 (Minifigure Only without Stand and Accessories)",Greek,col06-8,"Minotaur, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,N/A,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col088#T=S&O={%22iconly%22:0}
,col347,"Mummy Queen, Series 19 (Minifigure Only without Stand and Accessories)",Egyptian,col19-6,"Mummy Queen, Series 19 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 19 Minifigures,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col347#T=S&O={%22iconly%22:0}
,col045,"Mummy, Series 3 (Minifigure Only without Stand and Accessories)",Egyptian,"col03-8, 850458-1","Mummy, Series 3 (Complete Set with Stand and Accessories), VIP Top 5 Boxed Minifigures",Collectible Minifiguers: Series 3 Minifigures,N/A,2011-2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col045#T=S&O={%22iconly%22:0}
,col012,"Ninja, Series 1 (Minifigure Only without Stand and Accessories)",Japanese,col01-12,"Ninja, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 1 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=93044#T=S&O={%22iconly%22:0}
,col115,"Lederhosen Guy, Series 8 (Minifigure Only without Stand and Accessories)",German,col08-3,"Lederhosen Guy, Series 8 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 8 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col115#T=S&O={%22iconly%22:0}
,col089,"Leprechaun, Series 6 (Minifigure Only without Stand and Accessories)",Irish,col06-9,"Leprechaun, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col089#T=S&O={%22iconly%22:0}
