item_number,description,category,item_link
adv025,Lord Sam Sinister with Black Top Hat,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv025
adv030,Maharaja Lallu,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv030
adv012,Max Villano,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv012
adv042,Max Villano with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv042
adv014,Mike,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv014
adv015,Miss Gail Storm (Desert),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv015
adv018,Miss Gail Storm (Dino Island) with Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv018
adv016,Miss Gail Storm (Jungle) with Pith Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv016
adv044,"Miss Gail Storm (Jungle) with Pith Helmet, Backpack",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv044
adv019,Mr. Cunningham with Black Hips,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv019
adv020,Mr. Cunningham with Brown Hips,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv020
adv032,Ngan Pa (Yeti Hunter),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv032
adv021,Pharaoh Hotep,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv021
adv049,Pippin Reed - Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv049
adv028,Pippin Reed - Parka,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv028
adv034,Pippin Reed - Shirt and Camera,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv034
adv031,Scorpion Palace Guard,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv031
adv023,Señor Palomar (Senor Palomar),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv023
adv043,Señor Palomar with Backpack (Senor Palomar),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv043
adv029,Sherpa Sangye Dorje with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv029
gen004,Skeleton with Evil Skull,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen004
gen007,"Skeleton with Standard Skull, White Mummy Headdress",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen007
gen008,"Skeleton with Standard Skull, Yellow Mummy Headdress",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen008
gen006,"Skeleton with Standard Skull, Yellow Mummy Headdress with Pattern",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=gen006
adv053,Snake Charmer (Undetermined Eyebrows),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053
adv053a,"Snake Charmer, Black Eyebrows",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053a
adv053b,"Snake Charmer, Reddish Brown Eyebrows",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv053b
agt011,Agent Charge,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt011
agt030,Agent Charge - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt030
agt006,Agent Charge - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt006
agt025,Agent Chase - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt025
agt020,Agent Chase - Diving Gear - Dual Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt020
agt020a,Agent Chase - Diving Gear - Single Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt020a
agt001,Agent Chase - Dual Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt001
agt004,"Agent Chase - Dual Sided Head, Neck Bracket",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt004
agt018,Agent Chase - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt018
agt001a,Agent Chase - Single Sided Head,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt001a
agt010,Agent Fuse,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt010
agt022,Agent Fuse - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt022
agt009,Agent Fuse - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt009
agt029,Agent Swift - Body Armor,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt029
agt021,Agent Swipe,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt021
agt002,Agent Trace,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt002
agt003,Break Jaw,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt003
agt016,Claw-Dette,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt016
agt023,Dollar Bill,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt023
agt026,Dr. D. Zaster,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt026
agt013a,Dr. Inferno (Metallic Silver Claw),Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt013a
agt013,Dr. Inferno (Pearl Light Gray Claw),Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt013
agt024,Dyna-Mite,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt024
agt017,Fire Arm,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt017
agt007,Gold Tooth,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt007
agt012,Gold Tooth - Helmet,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt012
agt008,Henchman,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt008
agt027,Magma Commander,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt027
agt028,Magma Drone,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt028
agt005,Saw Fist,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt005
agt019,Slime Face,Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt019
agt014,"Spy Clops, Black Legs",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt014
agt015,"Spy Clops, Pearl Light Gray Legs",Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=agt015
alp021,Alpha Team Android,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp021
alp031,Arrow - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp031
alp001,Cam,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp001
alp025,Cam,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp025
alp023,Cam with Black Flippers,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp023
alp002,Charge,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp002
alp015,Charge,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp015
alp024,Charge - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp024
alp003,Crunch,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp003
alp016,Crunch,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp016
alp004,Dash,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp004
alp017,Dash,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp017
alp026,Dash - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp026
alp017a,Dash with Black Flippers,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp017a
alp032,Diamond - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp032
alp005,Flex,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp005
alp010,Flex,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp010
alp027,Flex - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp027
alp029,Ogel - Trans-Medium Blue Hook,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp029
alp019,Ogel Minion,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp019
alp022,Ogel Minion - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp022
