image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2727,3,"Minifigure, Head Child Black Eyebrows, Freckles, Small Happy with Top Teeth Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2727,2021
NA,3626cpb2579,3,"Minifigure, Head Child Black Eyebrows, Smile, Rainbow and Lavender Stars on Cheeks Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2579,2020
NA,3626bpb0690,3,"Minifigure, Head Child Black Eyelashes, Brown Eyebrows, Freckles Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0690,2012
NA,3626cpb1617,3,"Minifigure, Head Child Brown Eyebrows, Black Eyelashes, Slight Smile Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1617,2016
NA,3626cpb2354,3,"Minifigure, Head Child Dark Pink Eyebrows, Smile and Pink Cheeks Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2354,2019
NA,3626cpb2088,3,"Minifigure, Head Child Med. Nougat Eyebrows, Lime Glasses Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2088,2018
NA,3626cpb1595,3,"Minifigure, Head Child Raised Black Eyebrows, White Pupils, Lopsided Smile with Black Tongue Out Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1595,2016
NA,3626cpb2601,3,"Minifigure, Head Child Reddish Eyebrows, Happy Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2601,2020
NA,3626cpb1817,3,"Minifigure, Head Child with Dark Tan Eyebrows, Black Eyes and Eyelashes, Lopsided Happy, Bright Light Blue Flower on Cheek Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1817,2017
NA,3626cpb0690,3,"Minifigure, Head Child, Black Eyelashes, Reddish Brown Eyebrows, Freckles Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0690,2015
NA,3626cpb1565,3,"Minifigure, Head Child, Glasses with Red Round Frames, Black Eyebrows, Freckles Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1565,2016
NA,3626cpb1508,3,"Minifigure, Head Child Brown Eyebrows, Raised Left Eyebrow, Freckles, White Pupils, Crooked Smile Pattern",Yellow,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1508,2016
NA,3626cpb2962,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Bright Light Orange Cheeks, Medium Nougat Freckles, Grin / Smile with Braces Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2962,2022
NA,3626cpb2962,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Bright Light Orange Cheeks, Medium Nougat Freckles, Grin / Smile with Braces Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2962,2022
NA,3626cpb2960,3,"Minifigure, Head Dual Sided Child Reddish Eyebrows, Bright Light Orange Cheek Circles, Lopsided Grin / Open Smile Pattern - Hollow Stud",Yellow,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2960,2022
NA,3626cpb2960,3,"Minifigure, Head Dual Sided Child Reddish Eyebrows, Bright Light Orange Cheek Circles, Lopsided Grin / Open Smile Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2960,2022
NA,3626cpb3039,3,"Minifigure, Head Dual Sided Child, Black Eyebrows, Wide Smile with Teeth / Dark Purple Mask Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3039,2022
NA,3626cpb3039,3,"Minifigure, Head Dual Sided Child, Black Eyebrows, Wide Smile with Teeth / Dark Purple Mask Pattern - Hollow Stud",Yellow,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3039,2022
NA,3626cpb2998,28,"Minifigure, Head Dual Sided Child, Reddish Brown Freckles, Grin / Scared Open Mouth, Black Eyebrows Pointed Ends Pattern - Hollow Stud",Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2998,2022
NA,3626cpb2998,28,"Minifigure, Head Dual Sided Child, Reddish Brown Freckles, Grin / Scared Open Mouth, Black Eyebrows Pointed Ends Pattern - Hollow Stud",Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2998,2022
NA,3626cpb2913,3,"Minifigure, Head Dual Sided, Child, Black Eyebrows, Freckles, Small Open Smile / Sleeping Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2913,2021
NA,3626cpb2913,3,"Minifigure, Head Dual Sided, Child, Black Eyebrows, Freckles, Small Open Smile / Sleeping Pattern - Hollow Stud",Yellow,sleepy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2913,2021
