image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb1155,90,"Minifigure, Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Bared Teeth / Open Mouth Smile Pattern (Doc Ock)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1155,2014
NA,3626cpb0702,90,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0702,2012
NA,3626cpb0702,90,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0702,2012
NA,3626cpb0952,90,"Minifigure, Head Dual Sided LotR Beard, Tattoo and Eyebrow Ring Angry / Surprised Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0952,2013
NA,3626cpb0952,90,"Minifigure, Head Dual Sided LotR Beard, Tattoo and Eyebrow Ring Angry / Surprised Pattern",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0952,2013
NA,3626bpb0372,90,"Minifigure, Head Dual Sided Power Miner Beard Stubble, Gray Smudge, Orange Scars, Determined / Alarmed Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0372,2009
NA,3626bpb0372,90,"Minifigure, Head Dual Sided Power Miner Beard Stubble, Gray Smudge, Orange Scars, Determined / Alarmed Pattern",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0372,2009
NA,3626cpb0785,90,"Minifigure, Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0785,2012
NA,3626cpb0785,90,"Minifigure, Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0785,2012
NA,3626cpb0901,90,"Minifigure, Head Beard Brown Angular, White Eyes, Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0901,2013
