image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2253,88,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Smile / Red Head-Up Display with Dark Red Shapes Pattern",Reddish Brown,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2253,2018
NA,3626cpb2092,88,"Minifigure, Head Black Eyebrows, White Pupils, Neutral Pattern",Reddish Brown,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2092,2018
NA,3626cpb2677,88,"Minifigure, Head Black Eyebrows Lopsided Happy, Dark Brown Contour Lines PatternCatalog: Parts: Minifigure, Head",Reddish Brown,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2677,2020
NA,3626cpb2622,88,"Minifigure, Head Dual Sided Glasses with Silver Goggles and Red Lenses, Smile / Angry Pattern",Reddish Brown,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2622,2020
NA,3626cpb2622,88,"Minifigure, Head Dual Sided Glasses with Silver Goggles and Red Lenses, Smile / Angry Pattern",Reddish Brown,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2622,2020
NA,3626cpb2046,88,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Smirk with Raised Eyebrow / Firm Expression Pattern",Reddish Brown,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2046,2017
NA,3626cpb2046,88,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Smirk with Raised Eyebrow / Firm Expression Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2046,2017
NA,3626cpb1860,88,"Minifigure, Head Dual Sided Black Eyebrows, Green Eyes with White Glints, Smirk / Angry Pattern",Reddish Brown,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1860,2017
NA,3626cpb1860,88,"Minifigure, Head Dual Sided Black Eyebrows, Green Eyes with White Glints, Smirk / Angry Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1860,2017
NA,3626cpb1992,88,"Minifigure, Head Black Eye Mask with White Eye Holes, Dark Brown Cheek Lines Pattern",Reddish Brown,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1992,2018
NA,3626cpb2393,88,"Minifigure, Head Black Eyebrows, Mouth Open Showing Upper Teeth, Surprised Pattern",Reddish Brown,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2393,2019
NA,3626cpb2769,3,"Minifigure, Head Dual Sided Thick Black Eyebrows, Angry / Smile with Red Eye Mask Pattern",Yellow,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2769,2021
NA,3626cpb2769,3,"Minifigure, Head Dual Sided Thick Black Eyebrows, Angry / Smile with Red Eye Mask Pattern",Yellow,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2769,2021
NA,3626cpb2056,3,"Minifigure, Head Black Straight Eyebrows, Medium Blue Eyes, Semicircle Scowl Pattern",Yellow,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2056,2018
NA,3626cpb2644,3,"Minifigure, Head Dual Sided Sunglasses, Dot, Scar, Lopsided Frown / Raised Eyebrows, Wide Open Mouth Happy with White Teeth Pattern",Yellow,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2644,2020
NA,3626cpb2644,3,"Minifigure, Head Dual Sided Sunglasses, Dot, Scar, Lopsided Frown / Raised Eyebrows, Wide Open Mouth Happy with White Teeth Pattern",Yellow,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2644,2020
NA,3626cpb1068,3,"Minifigure, Head Dual Sided Reddish Brown Unibrow, Cheek Lines, Angry / Red Zigzag Line on Black Background Pattern",Yellow,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1068,2014
NA,3626cpb1068,3,"Minifigure, Head Dual Sided Reddish Brown Unibrow, Cheek Lines, Angry / Red Zigzag Line on Black Background Pattern",Yellow,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1068,2014
NA,3626cpb1967,3,"Minifigure, Head Dual Sided Black Eyebrows, Gold Tooth, Five Bee Stings, Determined / Crestfallen Pattern",Yellow,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1967,2018
NA,3626cpb1967,3,"Minifigure, Head Dual Sided Black Eyebrows, Gold Tooth, Five Bee Stings, Determined / Crestfallen Pattern",Yellow,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1967,2018
