"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"299","85974pb07","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Bright Pink Highlight and Silver Star Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb07","https://www.bricklink.com/catalogItemIn.asp?P=85974pb07&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb07#T=C","Dark Pink"
"300","85974pb03","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Green Plant Leaves Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb03","https://www.bricklink.com/catalogItemIn.asp?P=85974pb03&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb03#T=C","Red"
"301","85974pb08","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Magenta and Dark Pink Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb08","https://www.bricklink.com/catalogItemIn.asp?P=85974pb08&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb08#T=C","Black"
"302","85974pb05","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Magenta Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb05","https://www.bricklink.com/catalogItemIn.asp?P=85974pb05&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb05#T=C","Black"
"303","85974pb05b","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Magenta Highlights Pattern (Variant of 85974pb05)","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb05b","https://www.bricklink.com/catalogItemIn.asp?P=85974pb05b&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb05b#T=C","Black"
"304","85974pb04","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Medium Lavender Starfish / Sea Star and Lime Seaweed Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb04","https://www.bricklink.com/catalogItemIn.asp?P=85974pb04&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb04#T=C","Bright Light Blue"
"305","85974pb10","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Medium Nougat and Nougat Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb10","https://www.bricklink.com/catalogItemIn.asp?P=85974pb10&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb10#T=C","Dark Brown"
"306","85974pb06","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Red Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb06","https://www.bricklink.com/catalogItemIn.asp?P=85974pb06&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb06#T=C","Black"
"307","85974pb02","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Tan Full Length Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb02","https://www.bricklink.com/catalogItemIn.asp?P=85974pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb02#T=C","Reddish Brown"
"308","85974pb11","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Tan Medium Length Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb11","https://www.bricklink.com/catalogItemIn.asp?P=85974pb11&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb11#T=C","Dark Brown"
"309","85974pb09","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with White Highlights Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb09","https://www.bricklink.com/catalogItemIn.asp?P=85974pb09&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb09#T=C","Dark Orange"
"310","80908","Minifigure, Hair Female Mid-Length, Curly","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=80908","https://www.bricklink.com/catalogItemIn.asp?P=80908&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=80908#T=C","Black"
"311","80908","Minifigure, Hair Female Mid-Length, Curly","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=80908","https://www.bricklink.com/catalogItemIn.asp?P=80908&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=80908#T=C","Reddish Brown"
